ID,deniosed_signal,model_output,ground_truth
0,5.923995018,0,5
1,6.232010757,0,5.06279052
2,5.067039838,0,5.125333234
3,5.930684163,0,5.187381315
4,5.353039197,0,5.248689887
5,5.548615185,5.100712776,5.309016994
6,4.94218892,5.234650135,5.368124553
7,6.088158851,4.757833958,5.425779292
8,6.375786273,5.103581905,5.481753674
9,5.990084108,4.865719318,5.535826795
10,5.75990397,4.943655968,5.587785252
11,5.708035573,4.713302135,5.63742399
12,6.450975526,5.171695709,5.684547106
13,5.927616206,5.298023224,5.728968627
14,6.183330254,5.129157066,5.770513243
15,7.20687908,5.031014919,5.809016994
16,5.962850688,5.009299755,5.844327926
17,6.852698334,5.331260204,5.87630668
18,5.799189703,5.102267265,5.904827052
19,6.620690048,5.213284969,5.929776486
20,6.981019328,5.66039753,5.951056516
21,5.930103944,5.117412567,5.968583161
22,6.365230391,5.508265972,5.982287251
23,6.987038336,5.047568798,5.992114701
24,7.36225848,5.406293869,5.998026728
25,6.878412255,5.564019203,6
26,6.613001626,5.103333473,5.998026728
27,6.846925421,5.293361187,5.992114701
28,6.584675567,5.566617966,5.982287251
29,6.462441604,5.725007057,5.968583161
30,5.85503541,5.519482613,5.951056516
31,6.818107347,5.402898788,5.929776486
32,7.194785944,5.505742073,5.904827052
33,7.259263671,5.390384674,5.87630668
34,6.875520915,5.336330414,5.844327926
35,5.026928909,5.071249485,5.809016994
36,6.637189754,5.493142605,5.770513243
37,6.556677774,5.655304909,5.728968627
38,6.548673956,5.68235302,5.684547106
39,6.32367361,5.518223763,5.63742399
40,6.398365256,4.743345261,5.587785252
41,5.620951207,5.413578987,5.535826795
42,4.762263182,5.378007889,5.481753674
43,6.338160541,5.374468803,5.425779292
44,5.449324759,5.275018692,5.368124553
45,7.805226576,5.308001518,5.309016994
46,4.336457796,4.973226547,5.248689887
47,5.498035139,4.652142525,5.187381315
48,4.864336062,5.281409264,5.125333234
49,5.184069765,4.903706074,5.06279052
50,4.496385193,5.899041176,5
51,4.328730392,4.522948265,4.93720948
52,4.129753002,4.92320919,4.874666766
53,5.00134992,4.686388493,4.812618685
54,3.363814299,4.801035881,4.751310113
55,4.460266227,4.568787098,4.690983006
56,3.95555723,4.52081871,4.631875447
57,4.200851572,4.468746662,4.574220708
58,4.649448841,4.734196663,4.518246326
59,4.733642217,4.320855141,4.464173205
60,4.317511946,4.558142185,4.412214748
61,4.428196301,4.427648544,4.36257601
62,4.113445511,4.48673439,4.315452894
63,4.706799869,4.615714073,4.271031373
64,3.77371539,4.642756939,4.229486757
65,4.481527077,4.517740726,4.190983006
66,4.269885772,4.548835278,4.155672074
67,4.160194719,4.464718342,4.12369332
68,3.177784194,4.634043694,4.095172948
69,4.398418975,4.389355183,4.070223514
70,3.127000315,4.564388275,4.048943484
71,3.060044043,4.504861355,4.031416839
72,3.14028641,4.476361275,4.017712749
73,3.443313741,4.298102856,4.007885299
74,3.434667137,4.540310383,4.001973272
75,3.956312789,4.292814255,4
76,3.890682929,4.286437035,4.001973272
77,2.752506375,4.294158459,4.007885299
78,3.940827121,4.33217907,4.017712749
79,3.38142797,4.330899239,4.031416839
80,3.880020643,4.427818298,4.048943484
81,3.067638168,4.413440228,4.070223514
82,2.563370157,4.266057014,4.095172948
83,5.268730094,4.424372196,4.12369332
84,3.759169524,4.323283195,4.155672074
85,3.260958536,4.411161423,4.190983006
86,4.160980778,4.287127972,4.229486757
87,3.520001248,4.260809422,4.271031373
88,3.973142595,4.833119869,4.315452894
89,3.969195624,4.386498928,4.36257601
90,3.976536074,4.307625294,4.412214748
91,5.144416905,4.476561546,4.464173205
92,3.32475641,4.344004631,4.518246326
93,4.324181013,4.431603432,4.574220708
94,4.287859699,4.430710793,4.631875447
95,3.965921315,4.43237114,4.690983006
96,5.226972196,4.786245346,4.751310113
97,4.925727482,4.31564188,4.812618685
98,5.320048592,4.519566536,4.874666766
99,5.384181136,4.509682655,4.93720948
100,6.197717953,4.429974079,5
101,6.014968235,4.81720829,5.06279052
102,4.66653586,4.707552433,5.125333234
103,5.09607102,4.852887154,5.187381315
104,5.78364271,4.877920628,5.248689887
105,4.84670809,5.219593048,5.309016994
106,4.808744957,5.139915466,5.368124553
107,4.947144081,4.621137142,5.425779292
108,5.116362467,4.768422127,5.481753674
109,6.572716681,5.041007996,5.535826795
110,5.826518563,4.680386543,5.587785252
111,5.846932721,4.66758728,5.63742399
112,5.61952741,4.715037346,5.684547106
113,5.115974396,4.775874138,5.728968627
114,6.021628967,5.385099888,5.770513243
115,6.999756381,5.059137344,5.809016994
116,6.843719071,5.067804337,5.844327926
117,7.557917434,4.972639084,5.87630668
118,5.978212897,4.77573204,5.904827052
119,5.974065549,5.142800808,5.929776486
120,7.012321877,5.572106361,5.951056516
121,6.06562161,5.504341125,5.968583161
122,5.665925837,5.803919792,5.982287251
123,6.933202547,5.124032021,5.992114701
124,5.779044146,5.122246265,5.998026728
125,6.337387068,5.577521801,6
126,7.16912526,5.161890984,5.998026728
127,6.659812359,4.991793633,5.992114701
128,6.077037817,5.543313026,5.982287251
129,5.764148475,5.039070129,5.968583161
130,7.169553049,5.281067848,5.951056516
131,5.271287637,5.644471169,5.929776486
132,6.079961915,5.423558235,5.904827052
133,6.939687365,5.166855812,5.87630668
134,6.003310394,5.032799721,5.844327926
135,6.53895424,5.644655704,5.809016994
136,6.489375581,4.834098816,5.770513243
137,5.34309794,5.16812706,5.728968627
138,5.28825294,5.546126366,5.684547106
139,5.85808828,5.13487196,5.63742399
140,5.46463724,5.37017107,5.587785252
141,5.995076613,5.348243713,5.535826795
142,6.787616348,4.861841679,5.481753674
143,6.648525019,4.840608597,5.425779292
144,5.49031923,5.07254982,5.368124553
145,4.98146708,4.909815788,5.309016994
146,5.417642275,5.131314278,5.248689887
147,5.98418636,5.479782104,5.187381315
148,4.909579912,5.418580532,5.125333234
149,5.839172551,4.920104504,5.06279052
150,5.570446699,4.727133274,5
151,4.123127298,4.891121387,4.93720948
152,4.796459076,5.126613617,4.874666766
153,5.619102287,4.701948166,4.812618685
154,4.456193784,5.064506054,4.751310113
155,5.038354821,4.952539444,4.690983006
156,3.723455922,4.467106342,4.631875447
157,5.005243733,4.663478851,4.574220708
158,4.883039486,4.972464561,4.518246326
159,4.243306597,4.556956768,4.464173205
160,4.459663077,4.747458935,4.412214748
161,5.23455446,4.379618645,4.36257601
162,3.862027287,4.735585213,4.315452894
163,3.751580094,4.692791462,4.271031373
164,4.062614483,4.497804642,4.229486757
165,4.324407639,4.557966232,4.190983006
166,4.022581418,4.820086479,4.155672074
167,3.631168629,4.407356262,4.12369332
168,3.344152532,4.385022163,4.095172948
169,3.118898829,4.452401161,4.070223514
170,2.684450499,4.519629478,4.048943484
171,4.066419765,4.442955494,4.031416839
172,4.959760074,4.3627038,4.017712749
173,4.66199878,4.318201065,4.007885299
174,3.972741638,4.292004108,4.001973272
175,4.685239748,4.26352644,4
176,3.447235301,4.45331192,4.001973272
177,3.443017436,4.719467163,4.007885299
178,4.407606673,4.619692326,4.017712749
179,4.431232896,4.431513309,4.031416839
180,2.975735925,4.627107143,4.048943484
181,4.810144018,4.332763195,4.070223514
182,3.34001056,4.332136154,4.095172948
183,3.478879093,4.542927742,4.12369332
184,5.195918286,4.549710751,4.155672074
185,5.101038253,4.279397964,4.190983006
186,3.483943175,4.668058395,4.229486757
187,3.22589445,4.317650795,4.271031373
188,4.386061774,4.337552547,4.315452894
189,4.256779254,4.805486202,4.36257601
190,3.980878782,4.770243168,4.412214748
191,4.077231044,4.338333607,4.464173205
192,4.042168587,4.303483963,4.518246326
193,4.063076525,4.536808968,4.574220708
194,6.328842942,4.501367092,4.631875447
195,3.688684076,4.433356285,4.690983006
196,5.364547902,4.455906868,4.751310113
197,5.546959093,4.447548389,4.812618685
198,4.5694413,4.45250988,4.874666766
199,4.173168428,5.277296543,4.93720948
200,5.167729966,4.373095989,5
201,5.680734318,4.870219231,5.06279052
202,4.751223881,4.942982674,5.125333234
203,5.06418619,4.590819359,5.187381315
204,5.815116162,4.479645729,5.248689887
205,5.782435304,4.794922352,5.309016994
206,6.344069901,4.997936249,5.368124553
207,4.697784866,4.648509502,5.425779292
208,4.672911925,4.756795883,5.481753674
209,5.548325149,5.05430603,5.535826795
210,5.306534617,5.040498734,5.587785252
211,6.573508223,5.284018517,5.63742399
212,5.045346838,4.631136894,5.684547106
213,5.052706588,4.623165607,5.728968627
214,6.017106386,4.943540573,5.770513243
215,6.053051583,4.847654819,5.809016994
216,5.832368508,5.385447502,5.844327926
217,6.642772656,4.749979019,5.87630668
