Ground Truth,Noised Signal,Model Output
-0.5331716207371895,-0.16864600553346293,-0.0019184420816600323
-0.5315759886622363,-0.1722081511360753,-0.003853404661640525
-0.5299784678677443,-0.17590590916999155,-0.005806222558021545
-0.5283790640297978,-0.17973631442561777,-0.007778178434818983
-0.5267777828311634,-0.18369634660866513,-0.009770503267645836
-0.5251746299612865,-0.187782931993425,-0.011784383095800877
-0.5235696111162631,-0.19199294510274317,-0.013820946216583252
-0.5219627319988097,-0.19632321041442347,-0.01588127389550209
-0.5203539983182617,-0.20077050407932948,-0.01796639896929264
-0.5187434157905438,-0.20533155567278752,-0.020077304914593697
-0.5171309901381409,-0.21000304995144214,-0.022214923053979874
-0.5155167270900953,-0.21478162863786074,-0.024380125105381012
-0.513900632381978,-0.21966389222130644,-0.026573751121759415
-0.5122827117558588,-0.224646401771427,-0.028796587139368057
-0.5106629709603041,-0.22972568077297387,-0.031049354001879692
-0.5090414157503478,-0.2348982169676645,-0.033332742750644684
-0.5074180518874608,-0.24016046421674264,-0.03564739599823952
-0.5057928851395499,-0.24550884437338577,-0.03799387440085411
-0.5041659212809276,-0.25093974916846173,-0.04037275165319443
-0.5025371660922822,-0.2564495421007522,-0.04278448596596718
-0.500906625360676,-0.262034560347275,-0.04522953927516937
-0.4992743048795155,-0.26769111667125467,-0.047708284109830856
-0.4976402104485215,-0.2734155013473232,-0.050221092998981476
-0.4960043478737271,-0.279203984088524,-0.052768245339393616
-0.49436672296744744,-0.28505281597613175,-0.055350009351968765
-0.4927273415482502,-0.2909582314031398,-0.057966578751802444
-0.4910862094409535,-0.2969164500110001,-0.06061813235282898
-0.4894433324765954,-0.302923678637379,-0.06330478191375732
-0.4877987164924045,-0.30897611326252794,-0.06602659076452255
-0.4861523673317975,-0.31506994095470703,-0.06878359615802765
-0.48450429084434915,-0.32120134181255705,-0.07157576829195023
-0.4828544928857621,-0.3273664909189897,-0.0744030699133873
-0.481202979317865,-0.33356156027844225,-0.07726538926362991
-0.47954975600858185,-0.3397827207576044,-0.08016256242990494
-0.47789482883190243,-0.34602614401895987,-0.08309443295001984
-0.4762382036678796,-0.3522880044522225,-0.08606075495481491
