Ground Truth,Noised Signal,Model Output
-0.5331716207371895,-1.2122056074453704,-0.008467089384794235
-0.5315759886622363,-1.1989280433732297,-0.016766482964158058
-0.5299784678677443,-1.1853719637852538,-0.024897834286093712
-0.5283790640297978,-1.1715427840299122,-0.03286081925034523
-0.5267777828311634,-1.1574460335838899,-0.04065518453717232
-0.5251746299612865,-1.1430873536088018,-0.04828067868947983
-0.5235696111162631,-1.1284724944489877,-0.05573710426688194
-0.5219627319988097,-1.113607313093794,-0.06302431225776672
-0.5203539983182617,-1.0984977705837808,-0.07014217227697372
-0.5187434157905438,-1.0831499293823537,-0.07709062844514847
-0.5171309901381409,-1.0675699506940681,-0.08386964350938797
-0.5155167270900953,-1.051764091751189,-0.09047921746969223
-0.513900632381978,-1.0357387030521013,-0.09691932797431946
-0.5122827117558588,-1.019500225562548,-0.10319019854068756
-0.5106629709603041,-1.0030551878769622,-0.10929188877344131
-0.5090414157503478,-0.9864102033482173,-0.11522453278303146
-0.5074180518874608,-0.9695719671724656,-0.1209883913397789
-0.5057928851395499,-0.9525472534487429,-0.12658372521400452
-0.5041659212809276,-0.9353429121953099,-0.1320108324289322
-0.5025371660922822,-0.9179658663470277,-0.1372700035572052
-0.500906625360676,-0.9004231087064032,-0.14236167073249817
-0.4992743048795155,-0.882721698879196,-0.1472863256931305
-0.4976402104485215,-0.8648687601734089,-0.1520443558692932
-0.4960043478737271,-0.8468714764768956,-0.15663626790046692
-0.49436672296744744,-0.8287370891047192,-0.16106271743774414
-0.4927273415482502,-0.8104728936274942,-0.1653241515159607
-0.4910862094409535,-0.7920862366736373,-0.16942134499549866
-0.4894433324765954,-0.773584512712681,-0.17335498332977295
-0.4877987164924045,-0.7549751608181334,-0.1771257370710373
-0.4861523673317975,-0.7362656614129831,-0.18073436617851257
-0.48450429084434915,-0.7174635329960726,-0.184181809425354
-0.4828544928857621,-0.6985763288566964,-0.1874687820672989
-0.481202979317865,-0.6796116337706615,-0.19059638679027557
-0.47954975600858185,-0.6605770606915194,-0.19356532394886017
-0.47789482883190243,-0.6414802474192328,-0.19637681543827057
-0.4762382036678796,-0.6223288532715006,-0.19903172552585602
-0.47457988640259946,-0.6031305557372711,-0.20153120160102844
-0.4729198829281506,-0.5838930471311136,-0.20387637615203857
-0.47125819914262246,-0.5646240312376359,-0.20606841146945953
-0.46959484095007453,-0.5453312199524297,-0.20810842514038086
-0.4679298142605063,-0.5260223299229287,-0.2099977433681488
-0.4662631249898547,-0.5067050791889214,-0.21173766255378723
-0.46459477905996427,-0.4873871838203356,-0.2133294641971588
-0.46292478239855606,-0.46807635456101776,-0.21477444469928741
-0.4612531409392257,-0.44878029347348947,-0.2160741686820984
-0.45957986062141304,-0.42950669059009766,-0.2172299325466156
-0.4579049473903713,-0.410263220568734,-0.2182433009147644
-0.4562284071971681,-0.39105753936474535,-0.21911582350730896
-0.45455024599863936,-0.37189728089676666,-0.21984894573688507
-0.45287046975738976,-0.3527900537400338,-0.22044439613819122
-0.4511890844417625,-0.3337434378213432,-0.22090363502502441
-0.44950609602580816,-0.3147649811318622,-0.2212284505367279
-0.44782151048928304,-0.29586219645656214,-0.22142066061496735
-0.4461353338176179,-0.2770425581149133,-0.2214818149805069
-0.4444475720018874,-0.2583134987279849,-0.22141365706920624
-0.44275823103880796,-0.23968240599581686,-0.22121816873550415
-0.4410673169307066,-0.22115661950435672,-0.22089721262454987
-0.4393748356854904,-0.2027434275476218,-0.2204524278640747
-0.43768079331664417,-0.1844500639784662,-0.21988599002361298
-0.4359851958431993,-0.1662837050835386,-0.21919961273670197
-0.4342880492897031,-0.1482514664798751,-0.21839547157287598
-0.4325893596862165,-0.13036040005085642,-0.21747545897960663
-0.43088913306828275,-0.1126174908949149,-0.2164415717124939
-0.42918737547689684,-0.09502965431954835,-0.21529600024223328
-0.4274840929585029,-0.07760373285931438,-0.21404069662094116
-0.4257792915649632,-0.06034649332978592,-0.21267783641815186
-0.424072977353527,-0.043264623912624256,-0.21120962500572205
-0.4223651563868285,-0.026364731279691966,-0.20963811874389648
-0.42065583473285517,-0.009653337755260671,-0.20796571671962738
-0.41894501846491716,0.006863121491030633,-0.20619435608386993
-0.4172327136616446,0.023178301202605,-0.20432646572589874
-0.4155189264069564,0.0392859487608368,-0.20236419141292572
-0.4138036627900293,0.055179906863576156,-0.20030997693538666
-0.4120869289052949,0.07085411616561205,-0.19816607236862183
-0.4103687308524091,0.0863026178698813,-0.19593480229377747
-0.40864907473622025,0.10151955627663867,-0.19361838698387146
-0.40692796666676695,0.11649918128644177,-0.19121938943862915
-0.4052054127592467,0.13123585085587494,-0.18874017894268036
-0.40348141913398444,0.14572403340241,-0.18618300557136536
-0.40175599191643024,0.159958310164087,-0.1835504174232483
-0.4000291372371278,0.17393337750286436,-0.18084484338760376
-0.3983008612316829,0.18764404916494853,-0.17806871235370636
-0.39657117004076115,0.20108525847967007,-0.17522437870502472
-0.3948400698100564,0.21425206051264695,-0.17231449484825134
-0.3931075666902591,0.22713963415826705,-0.16934143006801605
-0.39137366683705405,0.23974328418270938,-0.166307732462883
-0.38963837641108867,0.25205844320669885,-0.16321584582328796
-0.38790170157794146,0.2640806736347272,-0.16006840765476227
-0.3861636485081196,0.2758056695233228,-0.15686772763729095
-0.38442422337702703,0.28722925839322405,-0.15361656248569489
-0.38268343236493313,0.2983474029812712,-0.15031731128692627
-0.38094128165697005,0.3091562029333276,-0.14697252213954926
-0.379197777443101,0.3196518964342882,-0.14358478784561157
-0.37745292591808843,0.32983086177924037,-0.1401565819978714
-0.3757067332814918,0.3396896188808129,-0.13669052720069885
-0.37395920573763547,0.34922483071518995,-0.13318905234336853
-0.37221034949557713,0.35843330470222357,-0.12965483963489532
-0.37046017076910503,0.36731199402579706,-0.126090407371521
-0.3687086757767065,0.3758579988849351,-0.12249821424484253
-0.3669558707415357,0.38406856768456377,-0.11888086050748825
-0.36520176189141124,0.39194109815645684,-0.11524083465337753
-0.36344635545878434,0.3994731384180565,-0.1115807592868805
-0.3616896576807067,0.40666238796206033,-0.10790307819843292
-0.35993167479882815,0.41350669858112304,-0.10436908900737762
-0.35817241305936454,0.4200040752237537,-0.10112117975950241
