Time,Ground Truth,Noised Signal,Model Output
0,-0.032391742,0.076304586,0
0.000001,-0.032570017,-0.160589206,0.000379058
0.000002,-0.032748177,-0.038365584,-0.000372746
0.000003,-0.03292622,0.075632956,-0.000548266
0.000004,-0.033104146,-0.028211594,-0.000211339
0.000005,-0.033281954,-0.05058972,-0.000347077
0.000006,-0.033459645,-0.146913305,-0.000576173
0.000007,-0.033637216,0.005692279,-0.001253344
0.000008,-0.033814668,-0.063107743,-0.001221798
0.000009,-0.033992,-0.080463238,-0.001518769
0.00001,-0.034169211,0.098271022,-0.001834005
0.000011,-0.0343463,0.067322686,-0.001367203
0.000012,-0.034523268,0.04531531,-0.001075395
0.000013,-0.034700113,-0.13472596,-0.000855473
0.000014,-0.034876834,-0.107516654,-0.001438656
0.000015,-0.035053432,-0.035184782,-0.001937114
0.000016,-0.035229905,-0.067372572,-0.002069073
0.000017,-0.035406253,-0.058134887,-0.002360958
0.000018,-0.035582475,-0.059004195,-0.002606583
0.000019,-0.035758571,-0.103319956,-0.002873056
0.00002,-0.03593454,-0.037601197,-0.00333569
0.000021,-0.036110381,-0.039313928,-0.003479458
0.000022,-0.036286093,-0.02069854,-0.003628424
0.000023,-0.036461677,-0.003852631,-0.003707415
0.000024,-0.036637131,-0.094060299,-0.003723545
0.000025,-0.036812455,-0.099311615,-0.00412786
0.000026,-0.036987649,0.031099784,-0.004548513
0.000027,-0.03716271,-0.06573849,-0.004363116
0.000028,-0.03733764,-0.062484967,-0.004643376
0.000029,-0.037512437,0.009798011,-0.004880632
0.00003,-0.037687101,-0.012532249,-0.004815523
0.000031,-0.037861631,-0.11965051,-0.004835593
0.000032,-0.038036026,-0.094291105,-0.005341244
0.000033,-0.038210287,-0.014264163,-0.005732519
0.000034,-0.038384411,-0.032756531,-0.00575011
0.000035,-0.038558399,-0.096927295,-0.005867925
0.000036,-0.03873225,-0.172008497,-0.006246585
0.000037,-0.038905964,-0.088699101,-0.006987918
0.000038,-0.039079539,-0.04458029,-0.007359173
0.000039,-0.039252975,0.028823713,-0.007527953
0.00004,-0.039426272,-0.037794427,-0.007359286
0.000041,-0.039599429,-0.138361294,-0.007495042
0.000042,-0.039772445,-0.057724905,-0.008065931
0.000043,-0.03994532,-0.086861825,-0.008283768
0.000044,-0.040118053,-0.117980015,-0.008623828
0.000045,-0.040290644,-0.013033934,-0.009093693
0.000046,-0.040463091,-0.092317593,-0.009053716
0.000047,-0.040635394,-0.125927782,-0.009392739
0.000048,-0.040807553,-0.206131413,-0.009896439
0.000049,-0.040979567,-0.033343742,-0.010743637
0.00005,-0.041151436,-0.038012211,-0.01085919
0.000051,-0.041323158,-0.072081076,-0.010940455
5.2E-05,-0.041494734,-0.171701981,-0.0111991
5.3E-05,-0.041666162,-0.087012424,-0.011891942
5.4E-05,-0.041837442,-0.223467497,-0.012234095
5.5E-05,-0.042008573,-0.21636648,-0.01316129
5.6E-05,-0.042179555,-0.076516468,-0.014057618
5.7E-05,-0.042350387,-0.089883875,-0.014313374
5.8E-05,-0.042521069,-0.193692054,-0.014646904
5.9E-05,-0.042691599,-0.092204004,-0.015400936
6E-05,-0.042861978,-0.060319901,-0.01574708
6.1E-05,-0.043032205,-0.114173944,-0.015933663
6.2E-05,-0.043202279,-0.152688082,-0.016351631
6.3E-05,-0.043372199,-0.129699808,-0.016963225
6.4E-05,-0.043541965,-0.132509839,-0.017472034
6.5E-05,-0.043711577,-0.154895111,-0.017983835
6.6E-05,-0.043881033,-0.120670242,-0.01857198
6.7E-05,-0.044050333,-0.20598414,-0.019018525
6.8E-05,-0.044219477,-0.158918134,-0.019861687
6.9E-05,-0.044388463,-0.134261696,-0.020422252
7E-05,-0.044557292,-0.148211634,-0.020928631
7.1E-05,-0.044725963,-0.279710687,-0.021485966
7.2E-05,-0.044894474,-0.111291294,-0.02266128
7.3E-05,-0.045062827,-0.225402761,-0.023026463
7.4E-05,-0.045231019,-0.121905929,-0.023937933
7.5E-05,-0.04539905,-0.109748268,-0.024344333
7.6E-05,-0.04556692,-0.182002551,-0.024721973
7.7E-05,-0.045734628,-0.079176235,-0.025414966
7.8E-05,-0.045902174,-0.077429412,-0.025649343
7.9E-05,-0.046069556,-0.126951424,-0.025857531
8E-05,-0.046236775,-0.154287851,-0.026242649
8.1E-05,-0.04640383,-0.134032245,-0.026812948
8.2E-05,-0.046570719,-0.195473136,-0.02728961
8.3E-05,-0.046737444,-0.161226634,-0.028029442
8.4E-05,-0.046904002,-0.131376418,-0.028602537
