Ground Truth,Noised Signal,Model Output
-0.04331557606316954,-0.06504653232645026,-0.0070214360021054745
-0.04314560456809587,-0.0662931846785825,-0.006593616213649511
-0.04297547977425006,-0.06753137522138879,-0.006696061696857214
-0.04280520228609509,-0.06876042885403248,-0.007266698870807886
-0.042634772708636845,-0.06997967383161867,-0.008327556774020195
-0.0424641916474206,-0.07118844208833544,-0.00978885404765606
-0.04229345970853084,-0.07238606955982528,-0.011555858887732029
-0.04212257749858778,-0.0735718965033555,-0.013548952527344227
-0.041951545624745894,-0.0747452678165619,-0.01570671796798706
-0.041780364694690465,-0.07590553335435334,-0.017983518540859222
-0.04160903531663734,-0.07705204824350592,-0.020346038043498993
-0.04143755809932979,-0.07818417319535377,-0.022770144045352936
-0.04126593365203543,-0.07930127481594906,-0.025238405913114548
-0.04109416258454594,-0.08040272591375384,-0.027738196775317192
-0.04092224550717364,-0.0814879058046814,-0.030260344967246056
-0.040750183030749954,-0.08255620061427471,-0.03279811143875122
-0.04057797576662192,-0.08360700357718832,-0.03534649312496185
-0.04040562432665202,-0.08463971533327386,-0.037901703268289566
-0.04023312932321466,-0.08565374422045174,-0.04046083614230156
-0.04006049136919467,-0.08664850656451772,-0.04302157089114189
-0.039887711077983806,-0.08762342696498944,-0.04514756798744202
-0.03971478906348053,-0.08857793857773716,-0.046080660074949265
-0.03954172594008654,-0.0895114833932345,-0.04700857028365135
-0.039368522322705234,-0.09042351251157965,-0.04793091118335724
-0.03919517882673818,-0.0913134864128396,-0.048847295343875885
-0.03902169606808497,-0.09218087522346696,-0.049757350236177444
-0.03884807466313964,-0.09302515897838641,-0.05066070333123207
-0.038674315228789176,-0.09384582787851592,-0.051557015627622604
-0.03850041838241003,-0.09464238254361934,-0.052445895969867706
-0.03832638474186786,-0.09541433426083863,-0.053327035158872604
-0.03815221492551401,-0.09616120522778317,-0.05420003831386566
-0.037977909552184025,-0.09688252879119687,-0.05506459251046181
-0.03780346924119409,-0.09757784968010047,-0.05592034012079239
-0.03762889461234083,-0.09824672423418052,-0.05676695704460144
-0.03745418628589775,-0.09888872062643034,-0.05760405957698822
-0.03727934488261376,-0.09950341908070486,-0.05843134969472885
-0.03710437102370958,-0.1000904120835212,-0.05924848094582558
-0.03692926533087756,-0.10064930459034294,-0.06005510687828064
-0.03675402842627811,-0.10117971422606496,-0.060850899666547775
-0.036578660932538205,-0.10168127147971572,-0.06163555383682251
-0.036403163472747795,-0.10215361989313668,-0.06240871921181679
-0.036227536670459616,-0.1025964162437332,-0.06317009031772614
-0.03605178114968561,-0.10300933072093268,-0.06391932815313339
-0.03587589753489542,-0.10339204709662889,-0.06465613842010498
-0.03569988645101282,-0.10374426288918581,-0.06538020074367523
-0.035523748523415444,-0.10406568952102194,-0.06609119474887848
-0.035347484377931664,-0.10435605246991685,-0.06678882986307144
-0.03517109464083728,-0.10461509141358138,-0.06747279316186905
-0.03499457993885532,-0.10484256036763805,-0.068142831325531
-0.03481794089915252,-0.10503822781702993,-0.06879858672618866
-0.0346411781493377,-0.10520187684054703,-0.06943981349468231
-0.03446429231745823,-0.10533330522856287,-0.07006621360778809
-0.034287284031999814,-0.10543232559391214,-0.07067754119634628
-0.03411015392188288,-0.10549876547579351,-0.07127349078655243
-0.03393290261646108,-0.10553246743668715,-0.07185378670692444
-0.03375553074551763,-0.1055332891522083,-0.07241818308830261
-0.03357803893926517,-0.10550110349391402,-0.07296644896268845
-0.03340042782834211,-0.10543579860485358,-0.07349826395511627
-0.03322269804381111,-0.10533727796805424,-0.07401345670223236
-0.03304485021715546,-0.10520546046773066,-0.07451176643371582
-0.032866884980278885,-0.10504028044318153,-0.07499293982982635
-0.03268880296550194,-0.10484168773552426,-0.07545676082372665
-0.03251060480556041,-0.10460964772698796,-0.07590302079916
-0.032332291133601775,-0.10434414137291077,-0.0763314738869667
-0.032153862583184915,-0.1040451652263984,-0.07674194872379303
-0.031975319788276564,-0.1037127314555711,-0.07713422924280167
-0.031796663383249706,-0.10334686785340266,-0.0775081142783165
-0.03161789400287997,-0.10294761784022388,-0.0778634250164032
-0.0314390122823454,-0.10251504045870696,-0.07820001244544983
-0.03126001885722287,-0.10204921036154552,-0.07851766049861908
-0.031080914363486478,-0.10155021779163123,-0.07881620526313782
-0.03090169943750394,-0.10101816855490019,-0.0790954977273941
-0.030722374716036352,-0.10045318398569832,-0.07935541123151779
-0.03054294083623459,-0.09985540090481629,-0.07959577441215515
-0.030363398435637706,-0.09922497157010805,-0.07981646060943604
-0.030183748152169333,-0.09856206361979179,-0.08001735806465149
-0.030003990624137413,-0.09786686000835698,-0.08019833266735077
-0.029824126490230612,-0.09713955893521899,-0.08035924285650253
-0.029644156389516698,-0.09638037376609232,-0.0805000588297844
-0.02946408096143894,-0.09558953294697387,-0.08062061667442322
-0.029283900845815853,-0.09476727991121923,-0.08072089403867722
-0.02910361668283757,-0.09391387297906027,-0.08080074191093445
-0.02892322911306426,-0.09302958525026406,-0.08086013048887253
-0.028742738777422467,-0.09211470448961293,-0.08089902251958847
-0.028562146317204908,-0.09116953300539284,-0.08091729879379272
-0.028381452374067136,-0.09019438752079281,-0.08091496676206589
-0.028200657590024266,-0.0891895990385131,-0.08089198917150497
-0.02801976260745073,-0.08815551269836525,-0.080848328769207
-0.027838768069076626,-0.08709248762830923,-0.08078394830226898
-0.027657674617986124,-0.08600089678835476,-0.08069885522127151
-0.02747648289761381,-0.08488112680820532,-0.08059301972389221
-0.027295193551744448,-0.08373357781807114,-0.08046650141477585
-0.027113807224509335,-0.08255866327304173,-0.08031927049160004
-0.026932324560384687,-0.08135680977095089,-0.08015140891075134
-0.02675074620418798,-0.08012845686402859,-0.07996287196874619
-0.026569072801077738,-0.07887405686405195,-0.07975377142429352
-0.026387304996549815,-0.0775940746416951,-0.07952413707971573
-0.026205443436435844,-0.07628898741916296,-0.0792739987373352
