Ground Truth,Noised Signal,Model Output
-0.43315576063169536,-1.1814037329094371,-0.6021322011947632
-0.4314560456809587,-1.1789286702972002,-0.7258307933807373
-0.4297547977425005,-1.1762367010047123,-0.7596700191497803
-0.4280520228609509,-1.1733268409279676,-0.7699753046035767
-0.4263477270863684,-1.1701981718837797,-0.7738258838653564
-0.424641916474206,-1.1668498424327187,-0.7758861780166626
-0.42293459708530834,-1.1632810687237358,-0.7774152159690857
-0.4212257749858777,-1.1594911352649304,-0.7787501811981201
-0.4195154562474589,-1.155479395718614,-0.7799808979034424
-0.41780364694690464,-1.1512452736318155,-0.7811309099197388
-0.41609035316637333,-1.1467882631825725,-0.7822059392929077
-0.41437558099329785,-1.1421079298596872,-0.7832067608833313
-0.41265933652035425,-1.1372039111616148,-0.7841328382492065
-0.4109416258454594,-1.1320759172246189,-0.7849832773208618
-0.4092224550717364,-1.1267237314663054,-0.7857570052146912
-0.4075018303074995,-1.1211472111786462,-0.7864528894424438
-0.40577975766621915,-1.115346288095245,-0.7870696783065796
-0.4040562432665202,-1.1093209689450634,-0.7876060009002686
-0.4023312932321466,-1.1030713359644904,-0.7880605459213257
-0.4006049136919467,-1.0965975473894924,-0.7884318828582764
-0.398877110779838,-1.0898998379167677,-0.7887183427810669
-0.39714789063480527,-1.0829785191375239,-0.7889185547828674
-0.3954172594008654,-1.0758339799414003,-0.7890306115150452
-0.3936852232270523,-1.0684666868903898,-0.7890526652336121
-0.3919517882673818,-1.0608771845653768,-0.7889832258224487
-0.39021696068084966,-1.0530660958788458,-0.7888199090957642
-0.3884807466313963,-1.0450341223666777,-0.7885608673095703
-0.38674315228789174,-1.0367820444317966,-0.7882039546966553
-0.3850041838241003,-1.0283107215791496,-0.7877468466758728
-0.3832638474186785,-1.0196210925992557,-0.7871870994567871
-0.38152214925514005,-1.0107141757340732,-0.7865220904350281
-0.3797790955218402,-1.0015910688065492,-0.7857493758201599
-0.3780346924119409,-0.9922529493160108,-0.7848661541938782
-0.37628894612340824,-0.9827010745062885,-0.7838695049285889
-0.3745418628589775,-0.9729367813978669,-0.782756507396698
-0.3727934488261376,-0.9629614867886931,-0.7815237641334534
-0.37104371023709576,-0.9527766872245668,-0.7801679372787476
-0.36929265330877553,-0.9423839589315839,-0.7786856889724731
-0.36754028426278107,-0.9317849577224004,-0.777073323726654
-0.36578660932538204,-0.9209814188659682,-0.7753268480300903
-0.36403163472747796,-0.9099751569188538,-0.7734423279762268
-0.36227536670459615,-0.8987680655370149,-0.7714153528213501
-0.3605178114968561,-0.8873621172395996,-0.7692418098449707
-0.35875897534895423,-0.8757593631468328,-0.7669169306755066
-0.35699886451012813,-0.8639619326856547,-0.7644355297088623
-0.35523748523415444,-0.8519720332597427,-0.7617930173873901
-0.3534748437793166,-0.8397919498794824,-0.7589837312698364
-0.35171094640837275,-0.8274240447731648,-0.7560020685195923
-0.3499457993885532,-0.8148707569524426,-0.7528424263000488
-0.3481794089915252,-0.8021346017462769,-0.7494984865188599
-0.346411781493377,-0.7892181703072654,-0.7459637522697449
-0.3446429231745823,-0.7761241290754841,-0.7422318458557129
-0.3428728403199981,-0.7628552192195481,-0.7382955551147461
-0.3411015392188288,-0.749414256036381,-0.7341473698616028
-0.33932902616461075,-0.7358041283192782,-0.7297800779342651
-0.3375553074551763,-0.7220277976947709,-0.7251853346824646
-0.3357803893926517,-0.7080882979281191,-0.7203550338745117
-0.33400427828342105,-0.6939887341865562,-0.7152803540229797
-0.33222698043811105,-0.6797322822897456,-0.7099521160125732
-0.3304485021715546,-0.6653221878995544,-0.7043612003326416
-0.3286688498027888,-0.6507617657063199,-0.6984974145889282
-0.32688802965501934,-0.6360543985613096,-0.6923508644104004
-0.32510604805560406,-0.6212035365903629,-0.685910701751709
-0.3233229113360177,-0.6062126962704488,-0.6791657209396362
-0.3215386258318491,-0.5910854594756915,-0.6721048951148987
-0.3197531978827656,-0.5758254724861506,-0.6647159457206726
-0.317966633832497,-0.5604364449885901,-0.6569868326187134
-0.31617894002879965,-0.5449221490108977,-0.6489048004150391
-0.31439012282345397,-0.5292864178585877,-0.6404565572738647
-0.3126001885722287,-0.5135331450005828,-0.6316287517547607
-0.3108091436348648,-0.49766628294195897,-0.6224073171615601
-0.3090169943750394,-0.4816898420498762,-0.6127783060073853
-0.3072237471603635,-0.4656078893679791,-0.6027268767356873
-0.3054294083623459,-0.4494245473812672,-0.5922380685806274
-0.30363398435637706,-0.4331439927829773,-0.5812966823577881
-0.3018374815216933,-0.416770455183015,-0.5698872208595276
-0.3000399062413741,-0.40030821580894976,-0.55799400806427
-0.2982412649023061,-0.3837616061675518,-0.5456011295318604
-0.29644156389516696,-0.3671350066967477,-0.5318905115127563
-0.2946408096143894,-0.3504328453748144,-0.5175505876541138
-0.2928390084581585,-0.33365959630794667,-0.5026425719261169
-0.2910361668283757,-0.3168197783008145,-0.4871522784233093
-0.2892322911306426,-0.2999179533927213,-0.47106605768203735
-0.28742738777422466,-0.28295872538747374,-0.45437097549438477
-0.28562146317204906,-0.26594673832295873,-0.43705469369888306
-0.28381452374067134,-0.24888667497018216,-0.4191057085990906
-0.28200657590024264,-0.23178325525388707,-0.4005134701728821
-0.28019762607450727,-0.21464123470675628,-0.3812684118747711
-0.27838768069076625,-0.1974654028545083,-0.3613620400428772
-0.2765767461798612,-0.18026058161259184,-0.34078726172447205
-0.2747648289761381,-0.16303162363996743,-0.31953829526901245
-0.27295193551744446,-0.14578341070345052,-0.29761114716529846
-0.27113807224509334,-0.12852085198353796,-0.2750036120414734
-0.26932324560384685,-0.11124888240247904,-0.25171607732772827
-0.2675074620418798,-0.09397246089698028,-0.22775177657604218
-0.26569072801077737,-0.0766965687126743,-0.2031177580356598
-0.26387304996549815,-0.05942620764641371,-0.1778261959552765
-0.26205443436435844,-0.04216639830222005,-0.1621156632900238
-0.26023488766899544,-0.02492217830304108,-0.15316300094127655
-0.2584144163443649,-0.007698600527551003,-0.14423291385173798
-0.2565930268587043,0.009499268712271358,-0.13534656167030334
-0.2547707256835169,0.026666351464044807,-0.12652207911014557
-0.2529475192935349,0.04379755997592685,-0.11777340620756149
-0.25112341416671713,0.060887798517281155,-0.10910943150520325
-0.24929841678421222,0.07793196523422433,-0.10053348541259766
-0.24747253363034247,0.09492495399915735,-0.09204322844743729
-0.24564577119256711,0.11186165628764283,-0.08363144099712372
-0.24381813596147975,0.12873696303211257,-0.07528746873140335
-0.2419896344307717,0.14554576652425916,-0.06335300207138062
-0.24016027309721574,0.1622829622814855,-0.03983554244041443
-0.23833005846062918,0.17894345096494554,-0.017464060336351395
-0.23649899702387153,0.1955221402553094,0.0035966485738754272
-0.23466709529280763,0.21201394677885166,0.0232575461268425
-0.2328343597762913,0.228413797989718,0.05381036177277565
-0.23100079698612855,0.24471663411102793,0.08556657284498215
-0.2291664134370751,0.260917410018087,0.1150130107998848
-0.2273312156467994,0.2770110971797832,0.14234653115272522
-0.22549521013586635,0.29299268554808355,0.16222605109214783
-0.2236584034277005,0.30885718549804864,0.1782723367214203
-0.2218208020485833,0.3245996297198938,0.19293811917304993
-0.21998241252761983,0.3402150751518785,0.20640744268894196
-0.21814324139670507,0.3556986048704839,0.2188408374786377
-0.21630329519052147,0.3710453300162527,0.23037666082382202
-0.2144625804465019,0.38625039167496833,0.24113333225250244
-0.21262110370481344,0.40130896280232553,0.25121188163757324
-0.21077887150832003,0.4162162500893972,0.26069873571395874
-0.20893589040258034,0.4309674958682751,0.26966753602027893
-0.2070921669358104,0.445557979973159,0.2781817615032196
-0.2052477076588674,0.45998302162706695,0.28629595041275024
-0.20340251912521248,0.47423798129614164,0.2940572500228882
-0.2015566078909083,0.48831826253255184,0.3015061318874359
-0.19970998051458178,0.502219313833204,0.3086782693862915
-0.1978626435574079,0.5159366304529827,0.3156043291091919
-0.19601460358307235,0.5294657562400413,0.3223111033439636
-0.1941658671577691,0.5428022854156574,0.3288220763206482
-0.19231644085016317,0.5559418643981993,0.335157573223114
-0.19046633123137427,0.5688801935472589,0.3413357138633728
-0.18861554487493953,0.5816130289532428,0.3473720848560333
-0.18676408835681094,0.5941361841638508,0.3532803952693939
-0.18491196825531822,0.6064455319245003,0.35907289385795593
-0.18305919115115227,0.6185370058802107,0.36476001143455505
-0.18120576362732788,0.6304066022855901,0.37035125494003296
-0.17935169226918135,0.6420503816589634,0.37585461139678955
-0.177496983664333,0.65346447045594,0.38127732276916504
-0.17564164440267088,0.6646450626845697,0.38662558794021606
-0.17378568107631323,0.6755884215435195,0.3919050097465515
-0.17192910027960623,0.6862908809875988,0.3971201479434967
-0.17007190860908636,0.6967488473171597,0.40227535367012024
-0.16821411266346414,0.7069588007046266,0.40737414360046387
-0.1663557190435866,0.7169172967418528,0.41241949796676636
-0.16449673435243478,0.7266209679042623,0.4174143075942993
-0.16263716519508645,0.7360665250532861,0.4223606586456299
-0.16077701817869938,0.7452507588576703,0.4272605776786804
-0.15891629991247413,0.7541705412343576,0.4321157932281494
-0.1570550170076514,0.7628228267161865,0.4369271993637085
-0.15519317607747452,0.7712046538410493,0.4416963756084442
-0.15333078373717313,0.7793131464549494,0.44642388820648193
-0.15146784660392545,0.7871455150535603,0.45111027359962463
-0.14960437129685594,0.7946990580272913,0.4557560086250305
-0.14774036443700125,0.8019711629305567,0.46036165952682495
-0.14587583264727608,0.808959307669835,0.464927077293396
-0.14401078255247082,0.8156610617156669,0.4694524109363556
-0.14214522077921388,0.8220740872290571,0.4739375412464142
-0.1402791539559552,0.8281961401967011,0.47838181257247925
-0.1384125887129287,0.8340250714955808,0.4827853739261627
-0.1365455316821497,0.8395588279669368,0.48714756965637207
-0.13467798949737741,0.8447954534134474,0.49146783351898193
-0.13280996879409826,0.849733089596453,0.4957456886768341
-0.13094147620948843,0.8543699771614265,0.4999803900718689
-0.12907251838241118,0.8587044565738038,0.5041711926460266
-0.12720310195337936,0.8627349689730344,0.5083174109458923
-0.1253332335645387,0.86646005702315,0.5124179720878601
-0.12346291985963032,0.8698783657028643,0.516472339630127
-0.121592167483988,0.8729886430779104,0.5204795002937317
-0.11972098308450072,0.8757897410186546,0.5244380235671997
-0.11784937330959595,0.8782806158963508,0.5283472537994385
-0.115977344809202,0.8804603292207899,0.5322062373161316
-0.11410490423474544,0.8823280482541347,0.5360138416290283
-0.11223205823911353,0.883883046587195,0.5397687554359436
-0.11035881347663748,0.8851247046567261,0.543470025062561
-0.10848517660305478,0.8860525102512331,0.5471163392066956
-0.10661115427550667,0.8866660589443875,0.5507067441940308
-0.10473675315250044,0.8869650545203165,0.5542399287223816
-0.10286197989389279,0.8869493093319638,0.557714581489563
-0.10098684116085199,0.8866187446362058,0.5611295700073242
-0.09911134361585554,0.8859733908720037,0.5644835233688354
-0.09723549392265221,0.8850133879168003,0.5677751302719116
-0.09535929874624556,0.8837389852785591,0.5710033774375916
-0.09348276475285605,0.8821505422686482,0.5741662979125977
-0.09160589860991857,0.8802485281131571,0.5772630572319031
-0.08972870698604461,0.878033522034615,0.5802921056747437
-0.0878511965510057,0.875506213288519,0.5832523107528687
-0.08597337397569549,0.8726674011555918,0.5861417055130005
-0.08409524593212725,0.8695179948927028,0.5889593362808228
-0.08221681909339965,0.8660590136416187,0.5917033553123474
-0.08033810013366235,0.8622915862946228,0.594372570514679
-0.07845909572811358,0.8582169513218509,0.596964955329895
-0.07657981255296221,0.8538364565479435,0.599479615688324
-0.07470025728541115,0.8491515588914493,0.6019144654273987
-0.07282043660361942,0.8441638240632405,0.6042677164077759
-0.07094035718669972,0.8388749262207575,0.6065380573272705
-0.06906002571468052,0.8332866475739751,0.6087234020233154
-0.06717944886848938,0.8274008779612319,0.6108220815658569
-0.06529863332991503,0.8212196143715123,0.6128321290016174
-0.063417585781605,0.8147449604319028,0.614751398563385
-0.061536312907027525,0.8079791258489939,0.6165782809257507
-0.05965482139045504,0.8009244258083031,0.6183104515075684
-0.05777311791692619,0.7935832803374094,0.6199456453323364
-0.05589120917224333,0.7859582136218716,0.6214814782142639
-0.05400910184293461,0.7780518532799101,0.6229157447814941
-0.05212680261623733,0.7698669296014125,0.6242455244064331
-0.050244318180059956,0.7614062747415515,0.6254684329032898
-0.04836165522297966,0.752672821871522,0.6265811920166016
-0.04647882043420436,0.7436696042998245,0.627581000328064
-0.04459582050355604,0.7343997545371659,0.6284646391868591
-0.04271266212143282,0.7248665033393208,0.6292284727096558
-0.04082935197880643,0.7150731786959537,0.6298688650131226
-0.03894589676718428,0.7050232047890325,0.6303818225860596
-0.03706230317859277,0.6947201009087522,0.6307631134986877
-0.03517857790553929,0.684167480336413,0.6310077905654907
-0.03329472764100979,0.6733690491770599,0.631111204624176
-0.031410759078430744,0.6623286051737445,0.6310677528381348
-0.02952667891165252,0.6510500364649117,0.630871593952179
-0.02764249383491136,0.6395373203192634,0.6305166482925415
-0.02575821054282691,0.6277945218276589,0.6299952864646912
-0.023873835730364227,0.6158257925590833,0.6293003559112549
-0.0219893760928171,0.6036353691914431,0.6284236311912537
-0.020104838325770053,0.5912275720883988,0.6273558139801025
-0.01822022912509586,0.5786068038616377,0.6260871887207031
-0.016335555186917556,0.5657775478840669,0.6246063709259033
-0.014450823207591734,0.5527443667877083,0.6229016780853271
-0.012566039883670565,0.5395119009016042,0.6209595203399658
-0.010681211911899302,0.5260848666948645,0.6187657117843628
-0.008796345989181832,0.5124680551445197,0.6163039207458496
-0.006911448812546234,0.498666330118772,0.6135562658309937
-0.005026527079142284,0.484684626690093,0.610503077507019
-0.00314158748620346,0.47052794944285903,0.607122540473938
-0.0012566367310302485,0.4562013707482208,0.6033905744552612
0.0006283184890478613,0.441710028996525,0.5992804169654846
0.0025132714766748594,0.4270591268240934,0.5947624444961548
0.004398215534506219,0.4122539292965599,0.5898039937019348
0.006283143965225591,0.3972997620734384,0.5843684673309326
0.008168050071582807,0.3822020095427193,0.5784155130386353
0.010052927156396357,0.36696611293908243,0.5719007253646851
0.011937768522591407,0.3515975684238972,0.5647746920585632
0.013822567473216472,0.3361019251553663,0.556982696056366
0.015707317311481436,0.3204847833341547,0.5484647750854492
0.01759201134076002,0.30475179221240917,0.5391544699668884
0.019476642864627792,0.2889086481068988,0.5289793014526367
0.02136120518687885,0.2729610923658371,0.5178597569465637
0.023245691611563837,0.25691490934108574,0.5057094097137451
0.02513009544299239,0.24077592431609995,0.4924350380897522
0.027014409985771173,0.22455000143790094,0.47793659567832947
0.028898628544820535,0.2082430416191655,0.46210843324661255
0.03078274442541252,0.1918609804345248,0.44484028220176697
0.03266675093317334,0.17540978597877224,0.4260196387767792
0.034550641374121366,0.1588954567454692,0.40553539991378784
0.03643440905468381,0.14232401945978,0.3832820951938629
0.03831804728173471,0.12570152692081693,0.35916730761528015
0.04020154936259741,0.10903405580799955,0.33311986923217773
0.04208490860508253,0.09232770451161987,0.30718642473220825
0.04396811831750467,0.07558859090432765,0.2902618646621704
0.04585117180872036,0.0588228501681447,0.2728099822998047
0.04773406238813053,0.04203663253270992,0.2392522543668747
0.04961678336571852,0.025236101086271556,0.20098546147346497
0.05149932805206671,0.008427429511692563,0.16169220209121704
0.053381689758394496,-0.008383200122238865,0.12171590328216553
0.05526386179656078,-0.025189599638580862,0.08146645873785019
0.057145837479098356,-0.04198557697095956,0.04139900952577591
0.05902761011924833,-0.05876493844365491,0.001982972025871277
0.06090917303096257,-0.07552149099120087,-0.03633567690849304
0.0627905195289417,-0.09224904445687829,-0.07317179441452026
0.0646716429286517,-0.10894141381010647,-0.10823070257902145
0.06655253654636187,-0.12559242143416535,-0.141323983669281
0.06843319369914733,-0.14219589935425495,-0.17236989736557007
0.07031360770492688,-0.15874569150971926,-0.20137974619865417
0.07219377188247972,-0.17523565599879118,-0.22843565046787262
0.0740736795514833,-0.1916596673211005,-0.25366607308387756
0.07595332403251591,-0.20801161863017426,-0.2716991603374481
0.07783269864709438,-0.2242854239443398,-0.28328531980514526
0.07971179671769096,-0.24047502040772514,-0.29417794942855835
0.08159061156777105,-0.25657437049518034,-0.3044242560863495
0.08346913652179572,-0.27257746422195767,-0.31709447503089905
0.08534736490525963,-0.28847832135836643,-0.33468541502952576
0.0872252900447076,-0.30427099361323295,-0.35161474347114563
0.08910290526777252,-0.31994956683420234,-0.36790475249290466
0.09098020390317783,-0.3355081631563451,-0.383576899766922
