Ground Truth,Noised Signal,Model Output
-0.05331716207371895,-0.030711889526103143,0.0
-0.053157598866223635,-0.09823937580025338,-0.00013571802992373705
-0.05299784678677443,-0.1489155718379159,-0.0005693768616765738
-0.052837906402979785,-0.16027602856731615,-0.0012244395911693573
-0.052677778283116344,-0.06577305279778889,-0.0019263834692537785
-0.05251746299612865,-0.2037012663140997,-0.002206231001764536
-0.05235696111162631,-0.1297565730954106,-0.0030947390478104353
-0.052196273199880974,-0.1646869113183541,-0.0036511425860226154
-0.05203539983182617,-0.11137357836739764,-0.004359094426035881
-0.051874341579054385,-0.10413409961132783,-0.004827507771551609
-0.051713099013814094,-0.07505116845485271,-0.005261240527033806
-0.05155167270900954,-0.20150175115492505,-0.005563605111092329
-0.05139006323819781,-0.22380188675283336,-0.006424295715987682
-0.051228271175585885,-0.17858585251717737,-0.007378386799246073
-0.051066297096030416,-0.17399079660288364,-0.008127361536026001
-0.050904141575034784,-0.21786096310693626,-0.008851664140820503
-0.05074180518874608,-0.22690918819922584,-0.009766656905412674
-0.05057928851395499,-0.06936636547422854,-0.010716106742620468
-0.05041659212809277,-0.07360540750823381,-0.0109638012945652
-0.05025371660922822,-0.09882598831374831,-0.011228819377720356
-0.0500906625360676,-0.08747696541390494,-0.011603963561356068
-0.049927430487951556,-0.050571601473862304,-0.011926580220460892
-0.049764021044852155,-0.15683561718555017,-0.012084748595952988
-0.049600434787372714,-0.12603056603287965,-0.012711480259895325
-0.04943667229674475,-0.26766902887429184,-0.01319911703467369
-0.049272734154825026,-0.08544129640618721,-0.014310859143733978
-0.04910862094409535,-0.15179099285977615,-0.014609737321734428
-0.04894433324765954,-0.10075835372878461,-0.015201149508357048
-0.048779871649240455,0.002116474312678218,-0.015563176944851875
-0.04861523673317975,0.007055352602887583,-0.015468291006982327
-0.04845042908443492,-0.1762197494441773,-0.015352224931120872
-0.04828544928857621,-0.116028345825265,-0.016047393903136253
-0.0481202979317865,-0.169715343936654,-0.016472671180963516
-0.047954975600858187,-0.11243074753347165,-0.01713295467197895
-0.047789482883190244,-0.120347074739419,-0.01753666065633297
-0.047623820366787965,-0.1416301253677462,-0.01797274872660637
-0.04745798864025995,-0.08850631566892309,-0.01850077696144581
-0.047291988292815064,-0.12805133741301677,-0.018791085109114647
-0.04712581991426225,-0.14847343541234523,-0.019254684448242188
-0.046959484095007456,-0.18626427358885214,-0.01980607584118843
-0.04679298142605063,-0.15391866759658243,-0.02052205801010132
-0.046626312498985474,0.006468946879782384,-0.02109087072312832
-0.04645947790599643,-0.1627011438799385,-0.02094714716076851
-0.046292478239855606,-0.08176509391733953,-0.02155282348394394
-0.04612531409392257,-0.12665229486469226,-0.02179647609591484
-0.045957986062141305,-0.06506837217539839,-0.02223770134150982
-0.04579049473903713,-0.09080983338928192,-0.022404003888368607
-0.04562284071971681,-0.2237681603181968,-0.02268359623849392
-0.04545502459986394,-0.0807865011139409,-0.02355097606778145
-0.04528704697573898,-0.13436300986509528,-0.02377954125404358
-0.04511890844417625,-0.010713826493910528,-0.024244457483291626
-0.04495060960258082,-0.057909838182843724,-0.024160053580999374
-0.044782151048928305,-0.06280577471632161,-0.024284452199935913
-0.04461353338176179,-0.10714335131613127,-0.024430157616734505
-0.04444475720018874,-0.18658688409189267,-0.024771394208073616
-0.0442758231038808,-0.23917701754057796,-0.025462627410888672
-0.04410673169307067,-0.07574086463654074,-0.026383578777313232
-0.04393748356854904,-0.05241016648969733,-0.026575323194265366
-0.04376807933166442,-0.12240862766997729,-0.02666255459189415
-0.04359851958431993,-0.03699772492157797,-0.027059372514486313
-0.04342880492897031,-0.040241707370152674,-0.02707630768418312
-0.04325893596862165,-0.11369303776707784,-0.02710733935236931
-0.04308891330682828,-0.0926942764811427,-0.027463335543870926
-0.042918737547689684,-0.008152790932606657,-0.02772456407546997
-0.0427484092958503,-0.0779289495135424,-0.0276104174554348
-0.04257792915649632,-0.0774096429842072,-0.027806032449007034
-0.042407297735352706,-0.11100230230864004,-0.027997439727187157
-0.04223651563868285,-0.12358327258800897,-0.028337566182017326
-0.04206558347328552,-0.03943950103963793,-0.028731219470500946
-0.04189450184649172,0.02470964313955576,-0.028750183060765266
-0.041723271366164466,-0.014556959661254521,-0.02848571538925171
-0.04155189264069564,0.036359946399098626,-0.02839628979563713
-0.041380366279002934,-0.1426097135255879,-0.028082486242055893
-0.041208692890529496,-0.03272458493436003,-0.0285622701048851
-0.04103687308524091,-0.0011645663772330672,-0.02855316922068596
-0.04086490747362203,-0.09020649324691292,-0.028404586017131805
-0.040692796666676696,-0.0008637594628468359,-0.028650660067796707
-0.04052054127592467,-0.04573642020047086,-0.028500445187091827
-0.040348141913398444,-0.15448852535851204,-0.02854970470070839
-0.04017559919164303,-0.11449438889738744,-0.029080361127853394
-0.040002913723712785,-0.04277963354691533,-0.029430778697133064
-0.039830086123168296,-0.010394400512708414,-0.02946169301867485
-0.03965711700407612,-0.058505079749202694,-0.02934938296675682
-0.03948400698100565,-0.010186131791030712,-0.029450688511133194
-0.03931075666902591,-0.061898908070603276,-0.029338045045733452
-0.039137366683705405,-0.03928028333971989,-0.029454611241817474
-0.03896383764110887,-0.06478016895640107,-0.02947041392326355
-0.03879017015779415,-0.161647847260473,-0.029599543660879135
-0.03861636485081196,-0.11095101859473551,-0.030156664550304413
-0.0384424223377027,-0.01568198722524473,-0.03048652783036232
-0.038268343236493314,-0.17538016141064072,-0.03039296716451645
-0.03809412816569701,-0.13522715933515353,-0.0310068316757679
-0.0379197777443101,-0.040749868045882334,-0.031439922749996185
-0.037745292591808845,-0.017374941454619038,-0.0314520001411438
-0.03757067332814918,0.06865058516123954,-0.031360600143671036
-0.03739592057376355,0.001301699597975375,-0.030889691784977913
-0.03722103494955772,-0.0144800816355113,-0.030719097703695297
-0.037046017076910506,-0.016776245209516753,-0.030619574710726738
-0.036870867577670656,0.042157787847571744,-0.030530612915754318
-0.03669558707415357,-0.01815669104285535,-0.030181877315044403
-0.03652017618914113,0.026405755397632503,-0.030101507902145386
-0.03634463554587843,0.06197911959550877,-0.029824592173099518
-0.036168965768070674,-0.008278831914445034,-0.029392380267381668
-0.035993167479882814,-0.1457990340623439,-0.029273387044668198
-0.035817241305936456,-0.043840972799525216,-0.029763519763946533
-0.03564118787130657,0.010469416227497426,-0.029799839481711388
-0.0354650078015213,0.004073533611786684,-0.029595520347356796
-0.03528870172255872,0.06261830060540845,-0.02942068874835968
-0.03511227026084363,-0.00883718915347978,-0.028988616541028023
