Ground Truth,Noised Signal,Model Output
-0.05331716207371895,-0.0670637139639104,0.0
-0.053157598866223635,-0.1145219116842841,-0.00029849307611584663
-0.05299784678677443,-0.06886811652239902,-0.0008075456134974957
-0.052837906402979785,-0.12357521274460487,-0.0011110770283266902
-0.052677778283116344,-0.051127317092774696,-0.001657292596064508
-0.05251746299612865,-0.03999632326433397,-0.0018790162866935134
-0.05235696111162631,-0.12634093253511694,-0.0020503210835158825
-0.052196273199880974,-0.04966703662327421,-0.0026054494082927704
-0.05203539983182617,-0.04600567998270075,-0.0028170603327453136
-0.051874341579054385,-0.06260451354863454,-0.003011588705703616
-0.051713099013814094,-0.010255377216529152,-0.003279576078057289
-0.05155167270900954,-0.05832127583739715,-0.003313217544928193
-0.05139006323819781,-0.026158320396281666,-0.003560889745131135
-0.051228271175585885,-0.0033019383999827235,-0.0036643471103161573
-0.051066297096030416,-0.040782722758649394,-0.003665599972009659
-0.050904141575034784,-0.08689654125465325,-0.0038339633028954268
-0.05074180518874608,-0.08721125245935439,-0.00420702388510108
-0.05057928851395499,-0.03725201083692509,-0.0045801494270563126
-0.05041659212809277,-0.04235804530932684,-0.004729197360575199
-0.05025371660922822,-0.12976539264641293,-0.004900944884866476
-0.0500906625360676,-0.09739349739455841,-0.005460904911160469
-0.049927430487951556,-0.0812903348384772,-0.0058748419396579266
-0.049764021044852155,-0.05972275100731731,-0.006215297617018223
-0.049600434787372714,-0.11080360298509756,-0.00645880401134491
-0.04943667229674475,-0.09737099079807571,-0.006928731687366962
-0.049272734154825026,-0.08334081756169069,-0.007337113842368126
-0.04910862094409535,-0.01575181352798213,-0.0076817539520561695
-0.04894433324765954,-0.07481755109043936,-0.007723975460976362
-0.048779871649240455,-0.041490549040667145,-0.008029220625758171
-0.04861523673317975,-0.08833441912589113,-0.008184647187590599
-0.04845042908443492,-0.11379013677778636,-0.008548478595912457
-0.04828544928857621,-0.052658546575110446,-0.00902427826076746
-0.0481202979317865,-0.045823249313258256,-0.009225813671946526
-0.047954975600858187,-0.03206241233710615,-0.00939649622887373
-0.047789482883190244,-0.030764592053207085,-0.009504969231784344
-0.047623820366787965,-0.04998659576218099,-0.0096076475456357
-0.04745798864025995,-0.06736768177106282,-0.00979547668248415
-0.047291988292815064,-0.05669148183942864,-0.01005979161709547
-0.04712581991426225,-0.03419634001107173,-0.010275809094309807
-0.046959484095007456,-0.12542892662580152,-0.010390806943178177
-0.04679298142605063,-0.03247418420351145,-0.010911851190030575
-0.046626312498985474,-0.1307484568591763,-0.01101679913699627
-0.04645947790599643,-0.0721228853501749,-0.011559510603547096
-0.046292478239855606,-0.04455921215937092,-0.011838552542030811
-0.04612531409392257,-0.04211999166766814,-0.011994070373475552
-0.045957986062141305,-0.06599472197392102,-0.012138205580413342
-0.04579049473903713,-0.07106894516933715,-0.012387911789119244
-0.04562284071971681,-0.03099416335512907,-0.012659602798521519
-0.04545502459986394,-0.03293018817282028,-0.012751597911119461
-0.04528704697573898,-0.005957116265877277,-0.012852038256824017
-0.04511890844417625,-0.1031954857947349,-0.012831900268793106
-0.04495060960258082,-0.05161364789396599,-0.01324522215873003
-0.044782151048928305,-0.10438841825197265,-0.01342696137726307
-0.04461353338176179,-0.048989599391129846,-0.013843216001987457
-0.04444475720018874,-0.0678752208279964,-0.014011045917868614
-0.0442758231038808,-0.09303109545979656,-0.01426269393414259
-0.04410673169307067,-0.08911844826268706,-0.014625534415245056
-0.04393748356854904,-0.01607219561451717,-0.014969414100050926
-0.04376807933166442,-0.026121437726781566,-0.014986803755164146
-0.04359851958431993,-0.06036892080441483,-0.015048732049763203
-0.04342880492897031,-0.0468091286120825,-0.015263168141245842
-0.04325893596862165,-0.045756694933141474,-0.015416250564157963
-0.04308891330682828,-0.09611956781611651,-0.015564169734716415
-0.042918737547689684,-0.06562915671958934,-0.015935823321342468
-0.0427484092958503,-0.07062131777549517,-0.01617058366537094
-0.04257792915649632,-0.06301094283779482,-0.01642652042210102
-0.042407297735352706,-0.03073803529223014,-0.0166476983577013
-0.04223651563868285,-0.01680176279541913,-0.016724301502108574
-0.04206558347328552,-0.03995247407653557,-0.01673859730362892
-0.04189450184649172,-0.019736540082812393,-0.016855962574481964
-0.041723271366164466,-0.06547033883985354,-0.016882743686437607
-0.04155189264069564,-0.11203560828289141,-0.017113203182816505
-0.041380366279002934,-0.08516504399929013,-0.0175503958016634
-0.041208692890529496,0.04101200956202679,-0.01786630041897297
-0.04103687308524091,-0.05821511534179746,-0.017618907615542412
-0.04086490747362203,-0.08057511796303336,-0.017814431339502335
-0.040692796666676696,-0.1136498550489321,-0.018108954653143883
-0.04052054127592467,-0.014580142467988355,-0.018549710512161255
-0.040348141913398444,-0.042713181850238965,-0.018547656014561653
-0.04017559919164303,-0.04907051236952613,-0.01867077872157097
-0.040002913723712785,-0.07774649767505143,-0.01882183738052845
-0.039830086123168296,-0.049142899363462555,-0.01910015009343624
-0.03965711700407612,-0.004656580251658971,-0.019249800592660904
-0.03948400698100565,-0.031831327060157094,-0.019200872629880905
-0.03931075666902591,-0.042658074844875715,-0.019273139536380768
-0.039137366683705405,-0.05603409423143782,-0.019393233582377434
-0.03896383764110887,-0.13898553158577126,-0.019572822377085686
-0.03879017015779415,-0.04964871056535139,-0.020121484994888306
-0.03861636485081196,-0.022298076495125847,-0.020269906148314476
-0.0384424223377027,-0.14072549935361722,-0.020295852795243263
-0.038268343236493314,-0.07166895964097374,-0.020849768072366714
-0.03809412816569701,-0.07463097312932064,-0.021093465387821198
-0.0379197777443101,-0.050044731922452304,-0.021349960938096046
-0.037745292591808845,-0.07850373618000797,-0.02149556204676628
-0.03757067332814918,-0.04313353468994769,-0.021767618134617805
-0.03739592057376355,-0.09510054834396259,-0.021880779415369034
-0.03722103494955772,-0.06233244052135615,-0.022225460037589073
-0.037046017076910506,-0.06434084458802597,-0.022423051297664642
-0.036870867577670656,-0.030335586342065447,-0.022628720849752426
-0.03669558707415357,-0.07582574693834228,-0.022682001814246178
-0.03652017618914113,-0.06705988438538361,-0.022937823086977005
-0.03634463554587843,-0.07315063763258521,-0.023153582587838173
-0.036168965768070674,-0.01566232830454718,-0.023396065458655357
-0.035993167479882814,0.001132871293452333,-0.023381104692816734
