Ground Truth,Noised Signal,Model Output
-0.032391742,-0.026635494,0
-0.032570017,0.024455024,-0.000105622
-0.032748177,-0.052234992,-8.15E-06
-0.03292622,-0.010185967,-0.000214971
-0.033104146,-0.056909336,-0.000254175
-0.033281954,-0.080167451,-0.000478132
-0.033459645,-0.081206576,-0.000793476
-0.033637216,-0.080170506,-0.001111129
-0.033814668,-0.028770867,-0.001423329
-0.033992,0.083196242,-0.001530575
-0.034169211,-0.085921412,-0.001194438
-0.0343463,-0.091118323,-0.001528978
-0.034523268,-0.026901068,-0.001882404
-0.034700113,-0.060667499,-0.001980247
-0.034876834,0.028904695,-0.002211277
-0.035053432,0.01226403,-0.002086713
-0.035229905,-0.076320266,-0.002028442
-0.035406253,-0.049827651,-0.00232115
-0.035582475,-0.02768587,-0.002507876
-0.035758571,-0.099975984,-0.002606103
-0.03593454,-0.042881086,-0.002989382
-0.036110381,-0.116469971,-0.003145504
-0.036286093,0.003226863,-0.003592077
-0.036461677,-0.088631793,-0.003562667
-0.036637131,-0.018441693,-0.00389725
-0.036812455,-0.05990951,-0.003952257
-0.036987649,-0.061110833,-0.004171185
-0.03716271,-0.040755336,-0.004393774
-0.03733764,-0.092506558,-0.004534845
-0.037512437,-0.021187689,-0.004880163
-0.037687101,-0.008425776,-0.0049415
-0.037861631,-0.090651845,-0.004952207
-0.038036026,-0.042809349,-0.005288268
-0.038210287,-0.005163429,-0.005433328
-0.038384411,-0.026825712,-0.005428748
-0.038558399,0.002688491,-0.005509964
-0.03873225,-0.077106076,-0.005473889
-0.038905964,-0.061284287,-0.005753847
-0.039079539,-0.078402315,-0.005969979
-0.039252975,-0.076416134,-0.006252891
-0.039426272,-0.061295623,-0.006526479
-0.039599429,-0.07345387,-0.006739291
-0.039772445,-0.057597156,-0.006998836
-0.03994532,-0.057652379,-0.007194625
-0.040118053,0.011313572,-0.007389682
-0.040290644,-0.020939273,-0.007311255
-0.040463091,-0.024008797,-0.007360219
-0.040635394,-0.070596091,-0.007421569
-0.040807553,-0.021615312,-0.007666699
-0.040979567,-0.034283711,-0.007716961
-0.041151436,-0.007826651,-0.007817118
-0.041323158,-0.094625691,-0.007812068
-0.041494734,-0.027353865,-0.008150796
-0.041666162,-0.028010945,-0.008221634
-0.041837442,-0.094351329,-0.008294739
-0.042008573,-0.105294955,-0.008629966
-0.042179555,-0.018737231,-0.009007044
-0.042350387,-0.019107496,-0.00903991
-0.042521069,-0.077850035,-0.009073847
-0.042691599,-0.104594641,-0.009340438
-0.042861978,-0.062853937,-0.009711658
-0.043032205,-0.041105578,-0.009915669
-0.043202279,-0.02231814,-0.010032702
-0.043372199,-0.023515758,-0.010075044
-0.043541965,-0.063757729,-0.010121949
-0.043711577,-0.023124289,-0.010327697
-0.043881033,-0.114278562,-0.010371786
-0.044050333,-0.008625127,-0.010776686
-0.044219477,-0.00584946,-0.010761202
-0.044388463,-0.094138112,-0.010734878
-0.044557292,-0.061309078,-0.011058199
-0.044725963,-0.07823317,-0.011250052
-0.044894474,-0.080651301,-0.011508206
-0.045062827,-0.05680885,-0.01177437
-0.045231019,-0.0781577,-0.011945213
-0.04539905,-0.034136584,-0.012199716
-0.04556692,-0.011719972,-0.012278814
-0.045734628,-0.019873239,-0.012268832
-0.045902174,-0.044105812,-0.012291046
-0.046069556,-0.097401917,-0.012409336
-0.046236775,-0.077396471,-0.012737859
-0.04640383,-0.055400452,-0.012985748
-0.046570719,-0.046708537,-0.013145362
-0.046737444,-0.117459647,-0.013269918
-0.046904002,-0.012219813,-0.013674113
-0.047070393,-0.017336193,-0.013659589
-0.047236617,-0.030737008,-0.01366544
-0.047402674,-0.022256766,-0.013724294
-0.047568562,-0.106510897,-0.013749336
-0.047734281,-0.011374566,-0.014107895
-0.04789983,-0.149500174,-0.014088179
-0.048065209,-0.106305944,-0.014615485
-0.048230418,-0.057300438,-0.014969453
-0.048395455,-0.076537513,-0.01512752
-0.04856032,-0.073081588,-0.01536114
-0.048725013,-0.042577453,-0.015579994
-0.048889532,-0.039788997,-0.015676796
-0.049053878,-0.037454197,-0.015762471
-0.049218049,-0.05624898,-0.015838206
-0.049382046,-0.040642145,-0.015988134
-0.049545867,-0.070664014,-0.016075689
-0.049709512,-0.061308751,-0.016281551
-0.04987298,-0.080499456,-0.016449511
-0.050036272,-0.041170636,-0.016692989
-0.050199385,-0.096551735,-0.016779138
-0.05036232,-0.068037044,-0.017084606
-0.050525076,-0.090650074,-0.017275311
-0.050687653,-0.004274588,-0.0175553
-0.05085005,-0.072890244,-0.017491424
-0.051012265,-0.038617098,-0.017699776
-0.0511743,-0.026188766,-0.017771326
-0.051336153,-0.066735872,-0.017793579
-0.051497823,-0.086105272,-0.017976152
-0.051659311,-0.069859515,-0.018234655
-0.051820615,-0.093404981,-0.018427331
-0.051981734,-0.097958305,-0.018712554
-0.052142669,-0.073211685,-0.019014819
-0.052303419,-0.011128864,-0.019217463
-0.052463983,-0.065142189,-0.019173263
-0.052624361,-0.006721629,-0.019343242
-0.052784551,-0.037690318,-0.019281315
-0.052944554,-0.062348804,-0.019341785
-0.053104369,-0.150496665,-0.019500049
-0.053263995,-0.04609499,-0.020006683
-0.053423432,-0.056726064,-0.020097462
-0.053582679,-0.07393916,-0.020229906
-0.053741736,-0.043631778,-0.0204299
-0.053900602,-0.100308467,-0.020508913
-0.054059276,-0.019241235,-0.020812234
-0.054217759,-0.094616181,-0.020792786
-0.054376048,-0.030931464,-0.021071984
-0.054534145,-0.066975292,-0.021097777
-0.054692047,-0.047982536,-0.021266304
-0.054849756,-0.068938399,-0.021358674
-0.055007269,-0.020507266,-0.021533879
-0.055164587,-0.13969932,-0.021516269
-0.055321709,-0.103558086,-0.02197087
-0.055478634,-0.076574479,-0.022280535
-0.055635363,-0.044115839,-0.022481699
-0.055791893,-0.025275271,-0.022553077
-0.055948226,-0.081588088,-0.022549827
-0.056104359,-0.072683935,-0.022769526
-0.056260294,-0.080540857,-0.02295302
-0.056416028,-0.059265989,-0.023166588
-0.056571562,-0.009579364,-0.023295123
-0.056726895,-0.065797066,-0.023226086
-0.056882026,-0.064418323,-0.023380369
-0.057036956,-0.067126705,-0.023528237
-0.057191682,-0.04172008,-0.023686348
-0.057346206,-0.08694055,-0.023742607
-0.057500525,-0.046757047,-0.023978388
-0.057654641,-0.047303828,-0.0240534
-0.057808551,-0.079379528,-0.024130642
-0.057962256,-0.076580674,-0.024334423
-0.058115755,-0.062517058,-0.024526212
-0.058269048,-0.078305352,-0.024661314
-0.058422134,-0.057056649,-0.024858423
-0.058575012,-0.011968189,-0.024970422
-0.058727682,-0.090221449,-0.024903545
-0.058880143,0.002666703,-0.025146686
-0.059032395,-0.04684601,-0.025020735
-0.059184437,-0.088544981,-0.025091564
-0.059336269,-0.033849939,-0.025327452
-0.059487891,-0.02771376,-0.025345486
-0.0596393,-0.112645655,-0.025338974
-0.059790498,-0.02703013,-0.025669061
-0.059941484,-0.044411613,-0.025658445
-0.060092256,-0.126533635,-0.025716895
-0.060242815,-0.066531073,-0.026100457
-0.06039316,-0.069217935,-0.026244335
-0.060543291,-0.053111349,-0.026398309
-0.060693206,-0.028893282,-0.026487704
-0.060842906,-0.079896494,-0.026480639
-0.060992389,-0.044536513,-0.026675928
-0.061141656,-0.099861028,-0.026730182
-0.061290705,-0.07519328,-0.027003264
-0.061439537,-0.090443615,-0.027177388
-0.061588151,-0.07288511,-0.027411466
-0.061736545,-0.087329673,-0.02757448
-0.06188472,-0.123446588,-0.027794262
-0.062032676,-0.086157319,-0.028156094
-0.062180411,-0.081583766,-0.028368518
-0.062327925,-0.031539136,-0.028561862
-0.062475217,-0.097648438,-0.028555918
-0.062622288,-0.027826953,-0.02881203
-0.062769136,-0.112859278,-0.028790109
-0.062915761,-0.119107249,-0.029105535
-0.063062163,-0.024483171,-0.029444503
-0.06320834,-0.09907332,-0.029406596
-0.063354293,-0.02549771,-0.029664485
-0.063500021,-0.01327349,-0.029629407
-0.063645523,-0.101803173,-0.029546406
-0.063790799,-0.026149539,-0.029814551
-0.063935849,-0.09664605,-0.029781356
-0.064080671,-0.066221991,-0.03002828
-0.064225265,-0.02328601,-0.030152924
-0.064369632,-0.072818385,-0.030107088
-0.064513769,-0.064860003,-0.030257737
-0.064657678,-0.047877311,-0.030376114
-0.064801356,-0.063348669,-0.030426769
-0.064944805,-0.079606513,-0.03053846
-0.065088023,-0.059563803,-0.030714052
-0.065231009,-0.073692124,-0.03080952
-0.065373764,-0.071336575,-0.030960329
-0.065516286,0.007419591,-0.031101294
-0.065658576,-0.067246832,-0.03092937
-0.065800632,-0.06962558,-0.031054234
-0.065942454,-0.07075179,-0.031188069
-0.066084043,-0.115145785,-0.03132581
-0.066225396,-0.031815539,-0.031638585
-0.066366514,-0.071589204,-0.031619884
-0.066507396,-0.119476971,-0.0317588
-0.066648042,-0.087151809,-0.032087084
-0.066788452,-0.091367919,-0.032285683
-0.066928624,-0.125374106,-0.03250007
-0.067068558,-0.1434251,-0.032848284
-0.067208253,-0.121299688,-0.03326685
-0.06734771,-0.058030048,-0.033595387
-0.067486928,-0.088235109,-0.03367161
-0.067625906,-0.136317894,-0.033867355
-0.067764644,-0.081990898,-0.034252983
-0.067903141,-0.056223121,-0.034421194
-0.068041396,-0.057119206,-0.03448648
-0.06817941,-0.061180374,-0.034554966
-0.068317182,-0.137071556,-0.03463912
-0.068454711,-0.0855582,-0.035024151
-0.068591996,-0.075668289,-0.035203107
-0.068729038,-0.029576461,-0.03534181
-0.068865836,-0.027033097,-0.03529717
-0.069002389,-0.041741313,-0.035242748
-0.069138697,-0.080785224,-0.035246946
-0.069274759,-0.025743898,-0.035405714
-0.069410575,-0.094796239,-0.03534589
-0.069546145,-0.067107437,-0.035559792
-0.069681467,-0.060624813,-0.035663128
-0.069816542,-0.122877451,-0.035740204
-0.069951369,-0.076402208,-0.036064103
-0.070085947,-0.119267106,-0.036201898
-0.070220276,-0.07661772,-0.03650932
-0.070354356,-0.099456398,-0.036645886
-0.070488185,-0.07657787,-0.036872685
-0.070621765,-0.051049482,-0.037007302
-0.070755093,-0.089167556,-0.037040517
-0.07088817,-0.084251182,-0.037224505
-0.071020995,-0.102935245,-0.037388314
-0.071153568,-0.090170232,-0.037625331
-0.071285888,-0.176280954,-0.03781062
-0.071417954,-0.068315983,-0.038337417
-0.071549767,-0.068386928,-0.038432807
-0.071681326,-0.09909394,-0.03852817
-0.07181263,-0.059073349,-0.03874483
-0.071943679,-0.111940139,-0.038801737
-0.072074472,0.017286771,-0.039068207
-0.072205009,-0.098010215,-0.038821004
-0.072335289,-0.133340688,-0.039031949
-0.072465313,-0.084716517,-0.039382599
-0.072595079,-0.05486839,-0.039538279
-0.072724587,-0.059325171,-0.039574955
-0.072853837,-0.121012034,-0.039629113
-0.072982828,-0.092390385,-0.039927866
-0.073111559,-0.102642466,-0.040111758
-0.073240031,-0.08296711,-0.040335268
-0.073368243,-0.04935633,-0.040480014
-0.073496194,-0.116703205,-0.040490329
-0.073623884,-0.019958068,-0.040768277
-0.073751312,-0.118666918,-0.040660873
-0.073878478,-0.110147588,-0.04094559
-0.074005382,-0.062321059,-0.041195363
-0.074132022,-0.101960777,-0.041253977
-0.0742584,-0.023597461,-0.041469987
-0.074384513,-0.108061718,-0.041373637
-0.074510362,-0.062137663,-0.041613251
-0.074635947,-0.106965557,-0.041669384
-0.074761266,-0.052475421,-0.041903321
-0.074886319,-0.111871408,-0.041919503
-0.075011107,-0.104303215,-0.042171594
-0.075135628,-0.105425137,-0.042392645
-0.075259882,-0.07807354,-0.042617016
-0.075383869,-0.079225414,-0.042731855
-0.075507587,-0.057266169,-0.042850677
-0.075631038,-0.052957599,-0.042881738
-0.07575422,-0.031043469,-0.042895716
-0.075877132,-0.11843601,-0.042822555
-0.075999776,-0.065756718,-0.04309693
-0.076122149,-0.111900183,-0.043160621
-0.076244251,-0.059407023,-0.043407027
-0.076366083,-0.079192175,-0.043444596
-0.076487643,-0.053366075,-0.043560017
-0.076608932,-0.064981065,-0.043572407
-0.076729948,-0.09973671,-0.043630909
-0.076850692,-0.111326503,-0.043827146
-0.076971162,-0.013026577,-0.044068586
-0.07709136,-0.065327389,-0.043918673
-0.077211283,-0.076244772,-0.043977238
-0.077330932,-0.081376352,-0.044078674
-0.077450306,-0.097094983,-0.044200025
-0.077569405,-0.018660545,-0.044383176
-0.077688228,-0.019020269,-0.044254437
-0.077806776,-0.065867393,-0.044127405
-0.077925047,-0.08180692,-0.044187266
-0.078043041,-0.09757489,-0.044309765
-0.078160757,-0.168417445,-0.044494428
-0.078278197,-0.061511435,-0.04496007
-0.078395357,-0.033774785,-0.04499859
-0.07851224,0.008595307,-0.044926722
-0.078628843,-0.05787214,-0.044687565
-0.078745167,-0.137806272,-0.044712868
