ID,Ground Truth,Noised Signal,Model Output,,,Error
1,-0.52517463,-0.908942004,0.069871411,,,-0.595046041
2,-0.523569611,0.611358805,0.079548478,,,-0.603118089
3,-0.521962732,-0.788806075,0.067382827,,,-0.589345559
4,-0.520353998,-0.12079429,0.065745309,,,-0.586099307
5,-0.518743416,-1.54445309,0.042110905,,,-0.560854321
6,-0.51713099,-0.48974435,0.035140425,,,-0.552271415
7,-0.515516727,-0.40928206,0.029516339,,,-0.545033066
8,-0.513900632,-0.251077079,0.026413441,,,-0.540314073
9,-0.512282712,-0.381653406,0.021346465,,,-0.533629177
10,-0.510662971,0.274160731,0.026446879,,,-0.53710985
11,-0.509041416,0.367677802,0.032922059,,,-0.541963475
12,-0.507418052,-0.001803092,0.033612147,,,-0.541030199
13,-0.505792885,-0.457650051,0.027265981,,,-0.533058866
14,-0.504165921,-0.342495058,0.022788942,,,-0.526954863
15,-0.502537166,-0.418662784,0.017207727,,,-0.519744893
16,-0.500906625,-0.647606237,0.008197799,,,-0.509104424
17,-0.499274305,-0.785652033,-0.002779558,,,-0.496494747
18,-0.49764021,-0.109336556,-0.003238514,,,-0.494401696
19,-0.496004348,0.817741125,0.010516658,,,-0.506521006
20,-0.494366723,-0.353086457,0.006128713,,,-0.500495436
21,-0.492727342,-0.367446043,0.001587242,,,-0.494314584
22,-0.491086209,-0.380648434,-0.003087267,,,-0.487998942
23,-0.489443332,-0.275862013,-0.00608848,,,-0.483354852
24,-0.487798716,0.189361628,-0.001931444,,,-0.485867272
25,-0.486152367,0.124371681,0.001175687,,,-0.487328054
26,-0.484504291,-0.446844032,-0.004505068,,,-0.479999223
27,-0.482854493,-0.877975883,-0.016675532,,,-0.466178961
28,-0.481202979,-0.348160325,-0.020575389,,,-0.46062759
29,-0.479549756,-0.035698306,-0.01966019,,,-0.459889566
30,-0.477894829,-0.542874143,-0.026475236,,,-0.451419593
31,-0.476238204,0.000460514,-0.024928674,,,-0.45130953
32,-0.474579886,-0.430700399,-0.029955894,,,-0.444623992
33,-0.472919883,0.030955129,-0.027898654,,,-0.445021229
34,-0.471258199,0.053648521,-0.02552405,,,-0.445734149
35,-0.469594841,-0.473612954,-0.031193361,,,-0.43840148
36,-0.467929814,-0.674202953,-0.03980957,,,-0.428120244
37,-0.466263125,-1.940986303,-0.0673237,,,-0.398939425
38,-0.464594779,0.005449438,-0.065152213,,,-0.399442566
39,-0.462924782,-0.473837215,-0.070190206,,,-0.392734576
40,-0.461253141,-1.158999605,-0.085352823,,,-0.375900318
41,-0.459579861,-0.404859871,-0.089040652,,,-0.370539209
42,-0.457904947,-1.049552831,-0.102198049,,,-0.355706898
43,-0.456228407,0.500366862,-0.092251554,,,-0.363976853
44,-0.454550246,-1.172432346,-0.107152089,,,-0.347398157
45,-0.45287047,-0.763281229,-0.11575155,,,-0.33711892
46,-0.451189084,-0.470635747,-0.119920924,,,-0.33126816
47,-0.449506096,-0.628208078,-0.126318082,,,-0.323188014
48,-0.44782151,-0.247911924,-0.127076581,,,-0.320744929
49,-0.446135334,0.010678119,-0.124057993,,,-0.322077341
50,-0.444447572,-0.196527354,-0.124100313,,,-0.320347259
51,-0.442758231,0.242536243,-0.117730275,,,-0.325027956
52,-0.441067317,0.534974334,-0.10713242,,,-0.333934897
53,-0.439374836,0.484677642,-0.097371951,,,-0.342002885
54,-0.437680793,-0.844187798,-0.107341722,,,-0.330339071
55,-0.435985196,-2.006157293,-0.134047106,,,-0.30193809
56,-0.434288049,-0.775825069,-0.142327085,,,-0.291960964
57,-0.43258936,-0.713100548,-0.149549887,,,-0.283039473
58,-0.430889133,0.843035404,-0.134230956,,,-0.296658177
59,-0.429187375,-0.483905486,-0.138290897,,,-0.290896478
60,-0.427484093,-0.942873121,-0.148893163,,,-0.27859093
61,-0.425779292,-0.262564599,-0.14953585,,,-0.276243442
62,-0.424072977,-0.512064057,-0.153747991,,,-0.270324986
63,-0.422365156,0.017639163,-0.150301978,,,-0.272063178
64,-0.420655835,0.417458368,-0.141134754,,,-0.279521081
65,-0.418945018,0.207516867,-0.135092631,,,-0.283852387
66,-0.417232714,-0.162613213,-0.134487912,,,-0.282744802
67,-0.415518926,-0.185107329,-0.134217724,,,-0.281301202
68,-0.413803663,-0.697113044,-0.14135851,,,-0.272445153
69,-0.412086929,0.646901941,-0.12893711,,,-0.283149819
70,-0.410368731,0.495649409,-0.118818775,,,-0.291549956
71,-0.408649075,-0.157782303,-0.11836876,,,-0.290280315
72,-0.406927967,0.366352881,-0.110243365,,,-0.296684602
73,-0.405205413,-1.196762064,-0.12511228,,,-0.280093133
74,-0.403481419,-1.0475486,-0.13749598,,,-0.265985439
75,-0.401755992,-0.621059832,-0.143480971,,,-0.258275021
76,-0.400029137,-0.208507307,-0.143422976,,,-0.256606161
77,-0.398300861,-0.433548199,-0.146607444,,,-0.251693417
78,-0.39657117,-0.847826013,-0.155680522,,,-0.240890648
79,-0.39484007,-1.404039443,-0.172469631,,,-0.222370439
80,-0.393107567,-0.589290548,-0.177389458,,,-0.215718109
81,-0.391373667,-1.081369732,-0.189126596,,,-0.202247071
82,-0.389638376,-0.948672218,-0.198759571,,,-0.190878805
83,-0.387901702,0.483514573,-0.188281968,,,-0.199619734
84,-0.386163649,-0.037829621,-0.185209528,,,-0.200954121
85,-0.384424223,-0.045227944,-0.182277963,,,-0.20214626
86,-0.382683432,-0.322958935,-0.183289781,,,-0.199393651
87,-0.380941282,-0.822807332,-0.191287801,,,-0.189653481
88,-0.379197777,0.00550933,-0.187572524,,,-0.191625253
89,-0.377452926,0.56096534,-0.176077381,,,-0.201375545
90,-0.375706733,-1.165093946,-0.189015463,,,-0.18669127
91,-0.373959206,-0.566897844,-0.193335071,,,-0.180624135
92,-0.372210349,-0.75618959,-0.200210437,,,-0.171999912
93,-0.370460171,-0.874425267,-0.20858635,,,-0.161873821
94,-0.368708676,-0.090310585,-0.205999896,,,-0.16270878
95,-0.366955871,-1.049586805,-0.216661081,,,-0.15029479
96,-0.365201762,-0.283517693,-0.216628,,,-0.148573762
97,-0.363446355,0.15612992,-0.210554823,,,-0.152891532
98,-0.361689658,-0.827088443,-0.218071982,,,-0.143617676
99,-0.359931675,-0.939278098,-0.226965263,,,-0.132966412
100,-0.358172413,-0.236230795,-0.226144627,,,-0.132027786
101,-0.356411879,0.087009062,-0.220927373,,,-0.135484506
102,-0.354650078,-0.636417168,-0.225645944,,,-0.129004134
103,-0.352887017,-0.615378593,-0.229994789,,,-0.122892228
104,-0.351122703,-0.152754772,-0.228000239,,,-0.123122464
105,-0.34935714,-0.210815735,-0.226820245,,,-0.122536895
106,-0.347590337,-1.444709652,-0.24233003,,,-0.105260307
107,-0.345822299,-0.138878489,-0.239995971,,,-0.105826328
108,-0.344053031,-0.388082214,-0.241042838,,,-0.103010193
109,-0.342282542,0.250902403,-0.233466312,,,-0.10881623
110,-0.340510836,0.111102016,-0.227849767,,,-0.112661069
111,-0.33873792,0.642224099,-0.215018973,,,-0.123718947
112,-0.336963801,-0.214429773,-0.21406047,,,-0.122903331
113,-0.335188485,-1.037478624,-0.224376902,,,-0.110811583
114,-0.333411977,-0.736758825,-0.230394587,,,-0.10301739
115,-0.331634285,-0.16669782,-0.228584304,,,-0.103049981
116,-0.329855415,0.127618234,-0.222789302,,,-0.107066113
117,-0.328075373,-1.05592188,-0.233160928,,,-0.094914445
118,-0.326294165,-0.41358511,-0.234655008,,,-0.091639157
119,-0.324511797,-0.964155911,-0.243529722,,,-0.080982075
120,-0.322728277,-0.302627808,-0.243378565,,,-0.079349712
121,-0.32094361,-0.716733871,-0.248768404,,,-0.072175206
122,-0.319157802,-0.141313578,-0.246389225,,,-0.072768577
123,-0.317370861,0.352351193,-0.237405553,,,-0.079965308
124,-0.315582792,0.73743604,-0.22324203,,,-0.092340762
125,-0.313793602,-0.375771662,-0.224373743,,,-0.089419859
126,-0.312003297,-0.772425079,-0.230874762,,,-0.081128535
127,-0.310211883,0.434852083,-0.220868424,,,-0.089343459
128,-0.308419367,-0.699189644,-0.226441815,,,-0.081977552
129,-0.306625755,0.194561758,-0.219752118,,,-0.086873637
130,-0.304831054,-1.541591893,-0.236758038,,,-0.068073016
131,-0.30303527,-0.423899944,-0.238335773,,,-0.064699497
132,-0.301238409,-0.396703586,-0.239523485,,,-0.061714924
133,-0.299440477,-0.252177982,-0.238749579,,,-0.060690898
134,-0.297641482,-0.29776038,-0.238599941,,,-0.059041541
135,-0.295841429,0.887099743,-0.222393379,,,-0.07344805
136,-0.294040325,-0.581503984,-0.226338938,,,-0.067701387
137,-0.292238177,0.645230593,-0.213472947,,,-0.07876523
138,-0.29043499,0.052284144,-0.208862647,,,-0.081572343
139,-0.288630771,-0.642992855,-0.213886991,,,-0.07474378
140,-0.286825526,-0.087608311,-0.211199209,,,-0.075626317
141,-0.285019262,0.697260086,-0.197673813,,,-0.087345449
142,-0.283211986,0.888665429,-0.181515589,,,-0.101696397
143,-0.281403704,-0.08432712,-0.179180041,,,-0.102223663
144,-0.279594421,-0.133847711,-0.177572384,,,-0.102022037
145,-0.277784145,-0.598358091,-0.182530805,,,-0.09525334
146,-0.275972883,0.172644408,-0.176559523,,,-0.09941336
147,-0.274160639,1.107065245,-0.157348141,,,-0.116812498
148,-0.272347422,-0.597071123,-0.162641361,,,-0.109706061
149,-0.270533237,0.355903361,-0.154251799,,,-0.116281438
150,-0.26871809,-0.04679718,-0.151724592,,,-0.116993498
