ID,Ground Truth,Noised Signal,Model Output
1,-0.52517463,-0.908942004,0.069871411
2,-0.523569611,0.611358805,0.079548478
3,-0.521962732,-0.788806075,0.067382827
4,-0.520353998,-0.12079429,0.065745309
5,-0.518743416,-1.54445309,0.042110905
6,-0.51713099,-0.48974435,0.035140425
7,-0.515516727,-0.40928206,0.029516339
8,-0.513900632,-0.251077079,0.026413441
9,-0.512282712,-0.381653406,0.021346465
10,-0.510662971,0.274160731,0.026446879
11,-0.509041416,0.367677802,0.032922059
12,-0.507418052,-0.001803092,0.033612147
13,-0.505792885,-0.457650051,0.027265981
14,-0.504165921,-0.342495058,0.022788942
15,-0.502537166,-0.418662784,0.017207727
16,-0.500906625,-0.647606237,0.008197799
17,-0.499274305,-0.785652033,-0.002779558
18,-0.49764021,-0.109336556,-0.003238514
19,-0.496004348,0.817741125,0.010516658
20,-0.494366723,-0.353086457,0.006128713
21,-0.492727342,-0.367446043,0.001587242
22,-0.491086209,-0.380648434,-0.003087267
23,-0.489443332,-0.275862013,-0.00608848
24,-0.487798716,0.189361628,-0.001931444
25,-0.486152367,0.124371681,0.001175687
26,-0.484504291,-0.446844032,-0.004505068
27,-0.482854493,-0.877975883,-0.016675532
28,-0.481202979,-0.348160325,-0.020575389
29,-0.479549756,-0.035698306,-0.01966019
30,-0.477894829,-0.542874143,-0.026475236
31,-0.476238204,0.000460514,-0.024928674
32,-0.474579886,-0.430700399,-0.029955894
33,-0.472919883,0.030955129,-0.027898654
34,-0.471258199,0.053648521,-0.02552405
35,-0.469594841,-0.473612954,-0.031193361
36,-0.467929814,-0.674202953,-0.03980957
37,-0.466263125,-1.940986303,-0.0673237
38,-0.464594779,0.005449438,-0.065152213
39,-0.462924782,-0.473837215,-0.070190206
40,-0.461253141,-1.158999605,-0.085352823
41,-0.459579861,-0.404859871,-0.089040652
42,-0.457904947,-1.049552831,-0.102198049
43,-0.456228407,0.500366862,-0.092251554
44,-0.454550246,-1.172432346,-0.107152089
45,-0.45287047,-0.763281229,-0.11575155
46,-0.451189084,-0.470635747,-0.119920924
47,-0.449506096,-0.628208078,-0.126318082
48,-0.44782151,-0.247911924,-0.127076581
49,-0.446135334,0.010678119,-0.124057993
50,-0.444447572,-0.196527354,-0.124100313
51,-0.442758231,0.242536243,-0.117730275
52,-0.441067317,0.534974334,-0.10713242
53,-0.439374836,0.484677642,-0.097371951
54,-0.437680793,-0.844187798,-0.107341722
55,-0.435985196,-2.006157293,-0.134047106
56,-0.434288049,-0.775825069,-0.142327085
57,-0.43258936,-0.713100548,-0.149549887
58,-0.430889133,0.843035404,-0.134230956
59,-0.429187375,-0.483905486,-0.138290897
60,-0.427484093,-0.942873121,-0.148893163
61,-0.425779292,-0.262564599,-0.14953585
62,-0.424072977,-0.512064057,-0.153747991
63,-0.422365156,0.017639163,-0.150301978
64,-0.420655835,0.417458368,-0.141134754
65,-0.418945018,0.207516867,-0.135092631
66,-0.417232714,-0.162613213,-0.134487912
67,-0.415518926,-0.185107329,-0.134217724
68,-0.413803663,-0.697113044,-0.14135851
69,-0.412086929,0.646901941,-0.12893711
70,-0.410368731,0.495649409,-0.118818775
71,-0.408649075,-0.157782303,-0.11836876
72,-0.406927967,0.366352881,-0.110243365
73,-0.405205413,-1.196762064,-0.12511228
74,-0.403481419,-1.0475486,-0.13749598
75,-0.401755992,-0.621059832,-0.143480971
76,-0.400029137,-0.208507307,-0.143422976
77,-0.398300861,-0.433548199,-0.146607444
78,-0.39657117,-0.847826013,-0.155680522
79,-0.39484007,-1.404039443,-0.172469631
80,-0.393107567,-0.589290548,-0.177389458
81,-0.391373667,-1.081369732,-0.189126596
82,-0.389638376,-0.948672218,-0.198759571
83,-0.387901702,0.483514573,-0.188281968
84,-0.386163649,-0.037829621,-0.185209528
85,-0.384424223,-0.045227944,-0.182277963
86,-0.382683432,-0.322958935,-0.183289781
87,-0.380941282,-0.822807332,-0.191287801
88,-0.379197777,0.00550933,-0.187572524
89,-0.377452926,0.56096534,-0.176077381
90,-0.375706733,-1.165093946,-0.189015463
91,-0.373959206,-0.566897844,-0.193335071
92,-0.372210349,-0.75618959,-0.200210437
93,-0.370460171,-0.874425267,-0.20858635
94,-0.368708676,-0.090310585,-0.205999896
95,-0.366955871,-1.049586805,-0.216661081
96,-0.365201762,-0.283517693,-0.216628
97,-0.363446355,0.15612992,-0.210554823
98,-0.361689658,-0.827088443,-0.218071982
99,-0.359931675,-0.939278098,-0.226965263
100,-0.358172413,-0.236230795,-0.226144627
101,-0.356411879,0.087009062,-0.220927373
102,-0.354650078,-0.636417168,-0.225645944
103,-0.352887017,-0.615378593,-0.229994789
104,-0.351122703,-0.152754772,-0.228000239
105,-0.34935714,-0.210815735,-0.226820245
106,-0.347590337,-1.444709652,-0.24233003
107,-0.345822299,-0.138878489,-0.239995971
108,-0.344053031,-0.388082214,-0.241042838
109,-0.342282542,0.250902403,-0.233466312
110,-0.340510836,0.111102016,-0.227849767
111,-0.33873792,0.642224099,-0.215018973
112,-0.336963801,-0.214429773,-0.21406047
113,-0.335188485,-1.037478624,-0.224376902
114,-0.333411977,-0.736758825,-0.230394587
115,-0.331634285,-0.16669782,-0.228584304
116,-0.329855415,0.127618234,-0.222789302
117,-0.328075373,-1.05592188,-0.233160928
118,-0.326294165,-0.41358511,-0.234655008
119,-0.324511797,-0.964155911,-0.243529722
120,-0.322728277,-0.302627808,-0.243378565
121,-0.32094361,-0.716733871,-0.248768404
122,-0.319157802,-0.141313578,-0.246389225
123,-0.317370861,0.352351193,-0.237405553
124,-0.315582792,0.73743604,-0.22324203
125,-0.313793602,-0.375771662,-0.224373743
126,-0.312003297,-0.772425079,-0.230874762
127,-0.310211883,0.434852083,-0.220868424
128,-0.308419367,-0.699189644,-0.226441815
129,-0.306625755,0.194561758,-0.219752118
130,-0.304831054,-1.541591893,-0.236758038
131,-0.30303527,-0.423899944,-0.238335773
132,-0.301238409,-0.396703586,-0.239523485
133,-0.299440477,-0.252177982,-0.238749579
134,-0.297641482,-0.29776038,-0.238599941
135,-0.295841429,0.887099743,-0.222393379
136,-0.294040325,-0.581503984,-0.226338938
137,-0.292238177,0.645230593,-0.213472947
138,-0.29043499,0.052284144,-0.208862647
139,-0.288630771,-0.642992855,-0.213886991
140,-0.286825526,-0.087608311,-0.211199209
141,-0.285019262,0.697260086,-0.197673813
142,-0.283211986,0.888665429,-0.181515589
143,-0.281403704,-0.08432712,-0.179180041
144,-0.279594421,-0.133847711,-0.177572384
145,-0.277784145,-0.598358091,-0.182530805
146,-0.275972883,0.172644408,-0.176559523
147,-0.274160639,1.107065245,-0.157348141
148,-0.272347422,-0.597071123,-0.162641361
149,-0.270533237,0.355903361,-0.154251799
150,-0.26871809,-0.04679718,-0.151724592
151,-0.266901989,-0.033350616,-0.149035767
152,-0.26508494,0.097099085,-0.144502297
153,-0.263266949,-0.338874182,-0.146307305
154,-0.261448022,0.808595834,-0.131506309
155,-0.259628166,-0.488097425,-0.135671481
156,-0.257807388,-0.761363799,-0.143711969
157,-0.255985694,-0.478509911,-0.147538289
158,-0.25416309,-0.969342796,-0.158329681
159,-0.252339584,-0.243314588,-0.158560827
160,-0.250515181,-0.289586925,-0.159449443
161,-0.248689887,-0.926002258,-0.169378802
