Ground Truth,Noised Signal,Model Output
-0.5331716207371895,-0.40844608135027394,-0.0045753479935228825
-0.5315759886622363,-0.410673389676704,-0.009119603782892227
-0.5299784678677443,-0.41285653463667255,-0.013632655143737793
-0.5283790640297978,-0.41499294982556073,-0.0181143619120121
-0.5267777828311634,-0.4170801249146209,-0.022564558312296867
-0.5251746299612865,-0.41911560708642537,-0.026983048766851425
-0.5235696111162631,-0.4210970024321311,-0.03136962279677391
-0.5219627319988097,-0.42302197730547664,-0.03572402894496918
-0.5203539983182617,-0.4248882596378813,-0.04004601761698723
-0.5187434157905438,-0.4266936402111996,-0.044335294514894485
-0.5171309901381409,-0.42843597388513405,-0.04859155789017677
-0.5155167270900953,-0.430113180784487,-0.05281448736786842
-0.513900632381978,-0.43172324743914603,-0.05700373277068138
-0.5122827117558588,-0.4332642278844847,-0.061158936470746994
-0.5106629709603041,-0.43473424471048816,-0.06527972966432571
-0.5090414157503478,-0.4361314900687213,-0.06936570256948471
-0.5074180518874608,-0.43745422663452904,-0.07341645658016205
-0.5057928851395499,-0.4387007885171713,-0.0774315595626831
-0.5041659212809276,-0.43986958212804644,-0.08141063153743744
-0.5025371660922822,-0.4409590869986466,-0.08535314351320267
-0.500906625360676,-0.44196785655204174,-0.08925870060920715
-0.4992743048795155,-0.4428945188235318,-0.0931267961859703
-0.4976402104485215,-0.4437377771358295,-0.09695699065923691
-0.4960043478737271,-0.44449641072275936,-0.10074878484010696
-0.49436672296744744,-0.44516927530445005,-0.10450168699026108
-0.4927273415482502,-0.44575530361341165,-0.10821516811847687
-0.4910862094409535,-0.4462535058687763,-0.1118888109922409
-0.4894433324765954,-0.44666297020461043,-0.11552204191684723
-0.4877987164924045,-0.4469828630428866,-0.11911436915397644
-0.4861523673317975,-0.44721242942079475,-0.12266530841588974
-0.48450429084434915,-0.44735099326365246,-0.12617430090904236
-0.4828544928857621,-0.4473979576107176,-0.1296408474445343
-0.481202979317865,-0.4473528047879427,-0.13306447863578796
-0.47954975600858185,-0.44721509653027913,-0.13644465804100037
-0.47789482883190243,-0.44698447405552727,-0.13978081941604614
-0.4762382036678796,-0.4466606580846944,-0.14307256042957306
-0.47457988640259946,-0.4462434488135554,-0.14631931483745575
-0.4729198829281506,-0.44573272583392776,-0.149520605802536
-0.47125819914262246,-0.44512844800179574,-0.15267595648765564
-0.46959484095007453,-0.4444306532608635,-0.15578483045101166
-0.4679298142605063,-0.4436394584088201,-0.15884679555892944
-0.4662631249898547,-0.4427550588199618,-0.16186140477657318
-0.46459477905996427,-0.44177772811425065,-0.1648281365633011
-0.46292478239855606,-0.44070781778013735,-0.16774654388427734
-0.4612531409392257,-0.4395457567443653,-0.1706162691116333
-0.45957986062141304,-0.4382920508967826,-0.17343679070472717
-0.4579049473903713,-0.4369472825649796,-0.17620770633220673
-0.4562284071971681,-0.435512109939935,-0.1789286583662033
-0.45455024599863936,-0.4339872664559779,-0.18159924447536469
-0.45287046975738976,-0.43237356012342365,-0.18421906232833862
-0.4511890844417625,-0.43067187281184316,-0.18678772449493408
-0.44950609602580816,-0.42888315948802574,-0.18930493295192719
-0.44782151048928304,-0.4270084474116117,-0.19177031517028809
-0.4461353338176179,-0.4250488352799578,-0.1941836178302765
-0.4444475720018874,-0.4230054923327983,-0.19654448330402374
-0.44275823103880796,-0.42087965740815714,-0.19885262846946716
-0.4410673169307066,-0.4186726379600668,-0.20110778510570526
-0.4393748356854904,-0.4163858090273595,-0.2033097892999649
-0.43768079331664417,-0.41402061216704455,-0.20545831322669983
-0.4359851958431993,-0.41157855433771684,-0.20755323767662048
-0.4342880492897031,-0.40906120675000174,-0.20959430932998657
-0.4325893596862165,-0.40647020367089565,-0.21158134937286377
-0.43088913306828275,-0.40380724119539513,-0.2135142683982849
-0.42918737547689684,-0.4010740759671113,-0.21539291739463806
-0.4274840929585029,-0.39827252387628476,-0.21721723675727844
-0.4257792915649632,-0.3954044587089337,-0.21898706257343292
-0.424072977353527,-0.3924718107656243,-0.22070243954658508
-0.4223651563868285,-0.38947656544390574,-0.22236324846744537
-0.42065583473285517,-0.38642076178148926,-0.2239694893360138
-0.41894501846491716,-0.3833064909741608,-0.22552120685577393
-0.4172327136616446,-0.38013589485365157,-0.22701846063137054
-0.4155189264069564,-0.3769111643358403,-0.22846126556396484
-0.4138036627900293,-0.37363453784128453,-0.22984972596168518
-0.4120869289052949,-0.3703082996798628,-0.23118391633033752
-0.4103687308524091,-0.36693477841083094,-0.2324640154838562
-0.40864907473622025,-0.36351634517328385,-0.23369021713733673
-0.40692796666676695,-0.36005541198980473,-0.23486259579658508
-0.4052054127592467,-0.35655443004405807,-0.23598143458366394
-0.40348141913398444,-0.353015887934916,-0.237047016620636
-0.40175599191643024,-0.34944230990303077,-0.23805947601795197
-0.4000291372371278,-0.3458362540376947,-0.23901920020580292
-0.3983008612316829,-0.34220031046257016,-0.23992645740509033
-0.39657117004076115,-0.33853709949900335,-0.24078163504600525
-0.3948400698100564,-0.33484926980809127,-0.24158501625061035
-0.3931075666902591,-0.3311394965173462,-0.24233701825141907
-0.39137366683705405,-0.32741047933072964,-0.24303807318210602
-0.38963837641108867,-0.32366494062001305,-0.24368861317634583
-0.38790170157794146,-0.3199056235001141,-0.2442891150712967
-0.3861636485081196,-0.3161352898941727,-0.24484001100063324
-0.38442422337702703,-0.3123567185835058,-0.24534189701080322
-0.38268343236493313,-0.30857270324842545,-0.24579526484012604
-0.38094128165697005,-0.3047860504931042,-0.24620071053504944
-0.379197777443101,-0.30099957786808856,-0.24655872583389282
-0.37745292591808843,-0.2972161118790583,-0.24687005579471588
-0.3757067332814918,-0.29343848599413214,-0.24713526666164398
-0.37395920573763547,-0.28966953864288436,-0.24735502898693085
-0.37221034949557713,-0.28591211120560434,-0.2475300431251526
-0.37046017076910503,-0.28216904600970677,-0.2476610392332077
-0.3687086757767065,-0.2784431843182995,-0.24774867296218872
-0.3669558707415357,-0.27473736431405665,-0.2477937489748001
-0.36520176189141124,-0.271054419095321,-0.24779704213142395
-0.36344635545878434,-0.26739717465834134,-0.2477594017982483
-0.3616896576807067,-0.2637684478940375,-0.24768151342868805
-0.35993167479882815,-0.26017104458358775,-0.24756428599357605
-0.35817241305936454,-0.2566077574034913,-0.24740871787071228
-0.35641187871306573,-0.25308136392818525,-0.24721549451351166
-0.354650078015213,-0.24959462465141014,-0.24698561429977417
-0.3528870172255872,-0.24615028100501507,-0.24671998620033264
-0.3511227026084363,-0.2427510533989383,-0.24641954898834229
-0.3493571404324733,-0.23939963926352173,-0.24608533084392548
-0.3475903369708436,-0.23609871110710057,-0.24571819603443146
-0.34582229850109325,-0.23285091458764864,-0.2453191876411438
-0.3440530313051662,-0.22965886659806664,-0.24488937854766846
-0.34228254166937205,-0.22652515336854073,-0.24442967772483826
-0.340510835884354,-0.2234523285839714,-0.2439412921667099
-0.33873792024508614,-0.22044291151898615,-0.2434251606464386
-0.33696380105084134,-0.2174993851941828,-0.24288232624530792
-0.3351884846051587,-0.2146241945525408,-0.24231404066085815
-0.33341197721584126,-0.2118197446558049,-0.2417212873697281
-0.33163428519492355,-0.20908839890105388,-0.24110524356365204
-0.3298554148586391,-0.20643247726663302,-0.24046695232391357
-0.3280753725274182,-0.20385425457451445,-0.23980769515037537
-0.32629416452585513,-0.20135595879164092,-0.23912853002548218
-0.324511797182676,-0.19893976934040544,-0.23843057453632355
-0.32272827683073596,-0.19660781544879766,-0.23771506547927856
-0.32094360980698716,-0.1943621745285131,-0.23698323965072632
-0.3191578024524457,-0.1922048705763397,-0.23623619973659515
-0.3173708611121893,-0.19013787261198276,-0.23547512292861938
-0.31558279213532503,-0.18816309314444588,-0.23470133543014526
-0.3137936018749563,-0.1862823866720404,-0.23391591012477875
-0.3120032966881806,-0.18449754821676423,-0.23312021791934967
-0.31021188293605684,-0.18281031189178953,-0.2323153018951416
-0.30841936698357264,-0.1812223495017799,-0.2315024882555008
-0.30662575519964186,-0.17973526918367816,-0.23068298399448395
-0.30483105395707194,-0.17835061408421446,-0.22985804080963135
-0.3030352696325311,-0.17706986106808162,-0.2290288507938385
-0.30123840860654594,-0.17589441947536238,-0.2281966656446457
-0.2994404772634687,-0.17482562991161482,-0.227362722158432
-0.29764148199144425,-0.17386476307630724,-0.22652822732925415
-0.2958414291824079,-0.1730130186377224,-0.2256944328546524
-0.2940403252320524,-0.17227152414457153,-0.22486257553100586
-0.2922381765397952,-0.17164133398780085,-0.22403381764888763
-0.29043498950877583,-0.17112342839082995,-0.2232094556093216
-0.2886307705458232,-0.1707187124562589,-0.22239066660404205
-0.28682552606142236,-0.17042801525249884,-0.22157859802246094
-0.28501926246971254,-0.17025208894632293,-0.2207745611667633
-0.2832119861884537,-0.17019160797618632,-0.21997973322868347
-0.2814037036389939,-0.17024716827595604,-0.21919521689414978
-0.2795944212462667,-0.17041928654357277,-0.2184223085641861
-0.27778414543875807,-0.17070839955891132,-0.21766206622123718
-0.2759728826484734,-0.17111486354334635,-0.21691566705703735
-0.2741606393109354,-0.1716389535714918,-0.21618437767028809
-0.2723474218651503,-0.17228086303157916,-0.21546918153762817
-0.2705332367535755,-0.17304070313349268,-0.2147713005542755
-0.2687180904221166,-0.17391850246233037,-0.21409180760383606
-0.26690198932009457,-0.17491420658716375,-0.21343174576759338
-0.2650849399002124,-0.1760276777133483,-0.212792307138443
-0.26326694861855643,-0.17725869439262684,-0.2121744453907013
-0.2614480219345454,-0.17860695127359966,-0.21157929301261902
-0.2596281663109322,-0.18007205891108582,-0.21100784838199615
-0.2578073882137701,-0.181653543619442,-0.21046113967895508
-0.2559856941123798,-0.18335084738290186,-0.2099401205778122
-0.2541630904793468,-0.18516332781112985,-0.2094458043575287
-0.2523395837904884,-0.18709025814696437,-0.20897911489009857
-0.2505151805248199,-0.18913082733053924,-0.20854103565216064
-0.24868988716455284,-0.1912841401074994,-0.20813246071338654
-0.24686371019506106,-0.19354921719038157,-0.2077542543411255
-0.24503665610484776,-0.19592499547383868,-0.20740725100040436
-0.24320873138554278,-0.19841032829802802,-0.20709237456321716
-0.24137994253186948,-0.20100398576460865,-0.20681042969226837
-0.23955029604161113,-0.20370465510177144,-0.20656219124794006
-0.23771979841560859,-0.2065109410828307,-0.20634840428829193
-0.23588845615772686,-0.20942136649224843,-0.20616985857486725
-0.23405627577482163,-0.21243437264758253,-0.20602723956108093
-0.2322232637767368,-0.2155483199640356,-0.20592132210731506
-0.23038942667627108,-0.2187614885749687,-0.20585264265537262
-0.22855477098914448,-0.22207207900069792,-0.20582188665866852
-0.2267193032339958,-0.2254782128649978,-0.2058297097682953
-0.2248830299323492,-0.22897793366510213,-0.20587660372257233
-0.22304595760858065,-0.23256920758456573,-0.2059631645679474
-0.22120809278991538,-0.2362499243598547,-0.20608991384506226
-0.21936944200639447,-0.2400178981933706,-0.20625731348991394
-0.21753001179084117,-0.24387086871132768,-0.20646581053733826
-0.21568980867885848,-0.24780650197388843,-0.20671586692333221
-0.21384883920879555,-0.25182239152611774,-0.20700788497924805
-0.2120071099217141,-0.25591605950364277,-0.20734213292598724
-0.2101646273613858,-0.2600849577730061,-0.20771899819374084
-0.20832139807425884,-0.2643264691268535,-0.20813876390457153
-0.20647742860942417,-0.2686379085179433,-0.208601713180542
-0.20463272551861297,-0.2730165243403561,-0.20910800993442535
-0.20278729535616313,-0.2774594997501029,-0.20965787768363953
-0.20094114467898536,-0.2819639540319428,-0.21025151014328003
-0.19909428004656082,-0.28652694400807355,-0.21088898181915283
-0.19724670802090752,-0.2911454654859324,-0.2115703970193863
-0.1953984351665463,-0.29581645474642293,-0.21229572594165802
-0.1935494680504986,-0.3005367900745358,-0.21306508779525757
-0.1916998132422526,-0.3053032933265727,-0.21387845277786255
-0.18984947731372942,-0.310112731537267,-0.21473568677902222
-0.18799846683928068,-0.3149618185615673,-0.21563678979873657
-0.18614678839565477,-0.3198472167560339,-0.2165815830230713
-0.18429444856196286,-0.3247655386930332,-0.21756991744041443
-0.1824414539196766,-0.3297133489126475,-0.2186015099287033
-0.18058781105259422,-0.3346871657067373,-0.21967622637748718
-0.1787335265468066,-0.3396834629336772,-0.2207937240600586
-0.17687860699069496,-0.34469867186886627,-0.22195374965667725
-0.17502305897489678,-0.3497291830867617,-0.22315596044063568
-0.1731668890922721,-0.35477134836568397,-0.2243998795747757
-0.17131010393790094,-0.3598214826314881,-0.22568513453006744
-0.16945271010904944,-0.36487586592221916,-0.22701126337051392
-0.16759471420513583,-0.36993074538167753,-0.2283778041601181
-0.16573612282772815,-0.37498233727930336,-0.22978422045707703
-0.16387694258051008,-0.38002682905562224,-0.23122990131378174
-0.16201718006924717,-0.38506038138794263,-0.23271426558494568
-0.16015684190178425,-0.3900791302840173,-0.23423664271831512
-0.15829593468801154,-0.39507918919075835,-0.23579645156860352
-0.1564344650398305,-0.40005665113077993,-0.2373928725719452
-0.15457243957115158,-0.40500759085021165,-0.2390252649784088
-0.15270986489786,-0.40992806699132134,-0.24069270491600037
-0.1508467476377819,-0.4148141242766641,-0.24239453673362732
-0.14898309441068172,-0.41966179571433276,-0.24412980675697327
-0.14711891183822823,-0.4244671048116986,-0.24589763581752777
-0.14525420654396048,-0.4292260678084444,-0.247697114944458
-0.14338898515328533,-0.43393469591799483,-0.24952736496925354
-0.1415232542934433,-0.43858899757823466,-0.251387357711792
-0.13965702059347462,-0.44318498071917584,-0.2532760202884674
-0.13779029068421664,-0.4477186550293415,-0.2551923394203186
-0.13592307119826974,-0.45218603423914844,-0.2571352422237396
