,signal,deniosed,model_output
0,0.0,0.41387444182259187,0
1,0.06279051952931337,-0.094278617826333,[-0.00203652]
2,0.12533323356430426,-0.18657445460739208,[-0.00237603]
3,0.1873813145857246,-0.23714162645105782,[-0.00238908]
4,0.2486898871648548,-0.18233442670183536,[-0.00238837]
5,0.3090169943749474,0.4414393570418724,[-0.0023889]
6,0.3681245526846779,0.17890031535758996,[-0.00200803]
7,0.4257792915650727,1.0130089161078177,[-0.00224239]
8,0.4817536741017153,0.6987143370469486,[-0.00130845]
9,0.5358267949789967,-0.07977156247980823,[-0.00171161]
10,0.5877852522924731,1.59766832914384,[-0.00237245]
11,0.6374239897486896,0.5466556459511231,[-0.00062985]
12,0.6845471059286886,0.8254264148056714,[-0.00189293]
13,0.7289686274214116,0.5544972799160489,[-0.00155158]
14,0.7705132427757893,-0.06732712755047857,[-0.00188381]
15,0.8090169943749475,0.5668498046807751,[-0.00236893]
16,0.8443279255020151,1.8314891616040183,[-0.00186981]
17,0.8763066800438637,1.4051656041518903,[-0.00044889]
18,0.9048270524660196,1.8096363804062003,[-0.00082678]
19,0.9297764858882513,1.437470970396809,[-0.00046254]
20,0.9510565162951535,1.0602969237596709,[-0.00079132]
21,0.9685831611286311,1.530110056783687,[-0.00124718]
22,0.9822872507286886,0.8224179834652648,[-0.00069464]
23,0.9921147013144779,0.4658202519086313,[-0.00155545]
24,0.9980267284282716,1.1405414462278225,[-0.00198234]
25,1.0,1.603618146140616,[-0.00114454]
26,0.9980267284282716,2.336508568650189,[-0.00062431]
27,0.9921147013144778,0.925413110876342,[-0.00036467]
28,0.9822872507286886,0.8216674304909084,[-0.00142223]
29,0.9685831611286312,1.9825884161780862,[-0.0015564]
30,0.9510565162951536,-0.43546614634548425,[-0.00037474]
31,0.9297764858882515,0.9605704805263618,[-0.00232748]
32,0.9048270524660195,1.3415075325739187,[-0.00137658]
33,0.8763066800438635,1.4106359299377769,[-0.00089926]
